Date,HRK
5/4/2015,7.5826
5/5/2015,7.5878
5/6/2015,7.581
5/7/2015,7.574
5/8/2015,7.5545
5/11/2015,7.562
5/12/2015,7.58
5/13/2015,7.5591
5/14/2015,7.5495
5/15/2015,7.5468
5/18/2015,7.5325
5/19/2015,7.533
5/20/2015,7.5338
5/21/2015,7.5398
5/22/2015,7.539
5/25/2015,7.5383
5/26/2015,7.5598
5/27/2015,7.5755
5/28/2015,7.5817
5/29/2015,7.572
6/1/2015,7.574
6/2/2015,7.5725
6/3/2015,7.5555
6/4/2015,7.5605
6/5/2015,7.5589
6/8/2015,7.553
6/9/2015,7.5535
6/10/2015,7.541
6/11/2015,7.566
6/12/2015,7.565
6/15/2015,7.5755
6/16/2015,7.576
6/17/2015,7.582
6/18/2015,7.5753
6/19/2015,7.5765
6/22/2015,7.5715
6/23/2015,7.578
6/24/2015,7.588
6/25/2015,7.5887
6/26/2015,7.5875
6/29/2015,7.5887
6/30/2015,7.5948
7/1/2015,7.5885
7/2/2015,7.5975
7/3/2015,7.597
7/6/2015,7.575
7/7/2015,7.573
7/8/2015,7.5725
7/9/2015,7.5668
7/10/2015,7.578
7/13/2015,7.575
7/14/2015,7.5767
7/15/2015,7.578
7/16/2015,7.5915
7/17/2015,7.6
7/20/2015,7.597
7/21/2015,7.592
7/22/2015,7.588
7/23/2015,7.583
7/24/2015,7.583
7/27/2015,7.5965
7/28/2015,7.591
7/29/2015,7.598
7/30/2015,7.5955
7/31/2015,7.592
8/3/2015,7.5905
8/4/2015,7.583
8/5/2015,7.58
8/6/2015,7.566
8/7/2015,7.5515
8/10/2015,7.531
8/11/2015,7.5415
8/12/2015,7.5645
8/13/2015,7.5475
8/14/2015,7.5435
8/17/2015,7.5566
8/18/2015,7.5585
8/19/2015,7.55
8/20/2015,7.5493
8/21/2015,7.559
8/24/2015,7.5603
8/25/2015,7.5553
8/26/2015,7.562
8/27/2015,7.5495
8/28/2015,7.561
8/31/2015,7.553
9/1/2015,7.552
9/2/2015,7.5535
9/3/2015,7.5585
9/4/2015,7.559
9/7/2015,7.5565
9/8/2015,7.5605
9/9/2015,7.551
9/10/2015,7.552
9/11/2015,7.55
9/14/2015,7.547
9/15/2015,7.5623
9/16/2015,7.574
9/17/2015,7.6075
9/18/2015,7.6305
9/21/2015,7.6363
9/22/2015,7.6235
9/23/2015,7.5833
9/24/2015,7.625
9/25/2015,7.6405
9/28/2015,7.636
9/29/2015,7.6535
9/30/2015,7.6445
10/1/2015,7.64
10/2/2015,7.639
10/5/2015,7.6263
10/6/2015,7.6135
10/7/2015,7.6095
10/8/2015,7.6135
10/9/2015,7.629
10/12/2015,7.6265
10/13/2015,7.6165
10/14/2015,7.628
10/15/2015,7.62
10/16/2015,7.6285
10/19/2015,7.6265
10/20/2015,7.6267
10/21/2015,7.6165
10/22/2015,7.621
10/23/2015,7.6243
10/26/2015,7.6265
10/27/2015,7.6225
10/28/2015,7.6125
10/29/2015,7.605
10/30/2015,7.586
