Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,ILS
1/4/1999,1.1789,133.73,1.953965362,0.58231,35.107,7.4501,15.6466,0.7111,251.48,4.717,0.6668,0.4432,4.0712,13111,4.049983983,9.4696,189.045,42.991,1.6168,81.48,8.855,7.414459241,40.89145052,372274,2.163162126,1.91,2.681554957,1.8004,9.166856257,9.1332,13121.77959,70.01142988,1398.59,17.21102921,4.457599535,2.2229,61.06659822,1.9554,44.24044556,6.9358,4.832594575
1/5/1999,1.179,130.96,1.953965362,0.5823,34.917,7.4495,15.6466,0.7122,250.8,4.7174,0.6657,0.4432,4.0245,13168,4.049983983,9.4025,188.775,42.848,1.6123,81.53,8.7745,7.414459241,40.89145052,372816,2.163293906,1.8944,2.681554957,1.7965,9.166856257,9.1341,13121.77959,70.01142988,1373.01,17.21102921,4.457599535,2.2011,61.06659822,1.9655,44.24044556,6.7975,4.832594575
1/6/1999,1.1743,131.42,1.953965362,0.582,34.85,7.4452,15.6466,0.7076,250.67,4.6994,0.6649,0.442,4.0065,13168,4.049983983,9.305,188.7,42.778,1.6116,81.54,8.7335,7.414459241,40.89145052,372188,2.163428815,1.882,2.681554957,1.7711,9.166856257,9.101,13121.77959,70.01142988,1359.54,17.21102921,4.457599535,2.189,61.06659822,1.9699,44.24044556,6.7307,4.832594575
1/7/1999,1.1632,129.43,1.953965362,0.58187,34.886,7.4431,15.6466,0.70585,250.09,4.6548,0.6627,0.4413,4.0165,13092,4.049983983,9.18,188.8,42.765,1.6165,81.06,8.6295,7.414459241,40.89145052,370147,2.163554015,1.8474,2.681554957,1.7602,9.166856257,9.0131,13121.77959,70.01142988,1337.16,17.21102921,4.457599535,2.1531,61.06659822,1.9436,44.24044556,6.8283,4.832594575
1/8/1999,1.1659,130.09,1.953965362,0.58187,34.938,7.4433,15.6466,0.7094,250.15,4.6643,0.6654,0.4419,4.0363,13143,4.049983983,9.165,188.84,42.56,1.6138,80.99,8.59,7.414459241,40.89145052,371830,2.163674725,1.8406,2.681554957,1.7643,9.166856257,9.0302,13121.77959,70.01142988,1366.73,17.21102921,4.457599535,2.1557,61.06659822,1.9537,44.24044556,6.7855,4.832594575
1/11/1999,1.1569,126.33,1.953965362,0.58167,35.173,7.4433,15.6466,0.7044,249.7,4.6296,0.6586,0.4405,4.032,12980,4.049983983,9.0985,188.9655,42.509,1.6104,80.55,8.5585,7.414459241,40.89145052,372471,2.163803108,1.8134,2.681554957,1.7463,9.166856257,8.9655,13121.77959,70.01142988,1356.7,17.21102921,4.457599535,2.1257,61.06659822,1.9358,44.24044556,6.791,4.832594575
1/12/1999,1.152,129.63,1.953965362,0.5814,35.25,7.443,15.6466,0.7066,249.2,4.6088,0.6601,0.4403,4.033,12912,4.049983983,9.0955,189.5352,42.49,1.6072,80.59,8.61,7.414459241,40.89145052,372105,2.163935192,1.809,2.681554957,1.7392,9.166856257,8.9246,13121.77959,70.01142988,1353.43,17.21102921,4.457599535,2.121,61.06659822,1.9343,44.24044556,6.9581,4.832594575
1/13/1999,1.1744,131.89,1.953965362,0.5819,36.113,7.4432,15.6466,0.7084,255.01,4.6986,0.6676,0.4435,4.2033,13149,4.049983983,9.14,191.2016,42.794,1.5931,81.24,8.747,7.414459241,40.89145052,376350,2.164067868,1.862,2.681554957,1.8123,9.166856257,9.1008,13121.77959,70.01142988,1377.93,17.21102921,4.457599535,2.1744,61.06659822,1.9815,44.24044556,7.2543,4.832594575
1/14/1999,1.1653,132.74,1.953965362,0.5819,35.698,7.4437,15.6466,0.7062,253.84,4.6636,0.6659,0.4414,4.1335,13134,4.049983983,9.135,188.9441,42.757,1.5934,80.93,8.7245,7.414459241,40.89145052,375101,2.164202315,1.8353,2.681554957,1.7707,9.166856257,9.0288,13121.77959,70.01142988,1382.23,17.21102921,4.457599535,2.157,61.06659822,1.9615,44.24044556,7.1316,4.832594575
1/15/1999,1.1626,131.74,1.953965362,0.58187,35.86,7.4441,15.6466,0.7039,253.34,4.6516,0.6617,0.4421,4.2,13164,4.049983983,9.157,187.1333,42.738,1.5984,80.7,8.715,7.414459241,40.89145052,374193,2.1643418,1.8388,2.681554957,1.7797,9.166856257,9.0102,13121.77959,70.01142988,1375.76,17.21102921,4.457599535,2.1582,61.06659822,1.957,44.24044556,7.2197,4.832594575
