Date,AUD,NEER
1/4/1999,1.91,102.0886
1/5/1999,1.8944,101.8885
1/6/1999,1.882,101.3198
1/7/1999,1.8474,101.0386
1/8/1999,1.8406,100.2461
1/11/1999,1.8134,101.0544
1/12/1999,1.809,101.7144
1/13/1999,1.862,102.1648
1/14/1999,1.8353,102.2179
1/15/1999,1.8388,101.5598
1/18/1999,1.8292,103.418
1/19/1999,1.8295,104.4054
1/20/1999,1.8064,104.1154
1/21/1999,1.8171,104.0597
1/22/1999,1.8225,104.0454
1/25/1999,1.8317,105.0172
1/26/1999,1.8391,104.1021
1/27/1999,1.8313,103.8607
1/28/1999,1.8262,104.6284
1/29/1999,1.8087,105.4738
2/1/1999,1.7882,105.8901
2/2/1999,1.7741,106.4628
2/3/1999,1.7609,106.4747
2/4/1999,1.7541,105.7842
2/5/1999,1.7294,107.373
2/8/1999,1.723,107.143
2/9/1999,1.7548,107.565
2/10/1999,1.7569,107.8628
2/11/1999,1.7427,107.2953
2/12/1999,1.7459,107.7131
2/15/1999,1.7353,107.2166
2/16/1999,1.7467,106.9493
2/17/1999,1.7751,108.4392
2/18/1999,1.7687,107.2486
2/19/1999,1.7502,107.0397
2/22/1999,1.7237,107.7001
2/23/1999,1.7145,106.4139
2/24/1999,1.7465,106.3496
2/25/1999,1.7566,105.1654
2/26/1999,1.7819,105.668
3/1/1999,1.7766,105.5318
3/2/1999,1.7492,104.284
3/3/1999,1.7454,104.586
3/4/1999,1.7494,104.5561
3/5/1999,1.7329,105.7107
3/8/1999,1.7348,107.0343
3/9/1999,1.7125,106.8781
3/10/1999,1.7237,106.727
3/11/1999,1.7144,106.407
3/12/1999,1.7247,106.53
3/15/1999,1.7325,106.7438
3/16/1999,1.7365,106.7134
3/17/1999,1.7502,106.1807
3/18/1999,1.7458,106.4749
3/19/1999,1.7316,105.3714
3/22/1999,1.7174,106.1237
3/23/1999,1.7044,106.4787
3/24/1999,1.7094,106.8757
3/25/1999,1.7102,107.1564
3/26/1999,1.6998,106.4965
3/29/1999,1.6904,106.2923
3/30/1999,1.7003,107.2613
3/31/1999,1.706,108.572
4/1/1999,1.6928,108.3533
4/2/1999,1.6992,108.9487
4/5/1999,1.6956,107.9989
4/6/1999,1.7063,108.33
4/7/1999,1.7213,108.8911
4/8/1999,1.7324,108.2244
4/9/1999,1.7162,107.8471
4/12/1999,1.7106,107.5035
4/13/1999,1.692,107.513
4/14/1999,1.6886,107.3818
4/15/1999,1.6981,106.9899
4/16/1999,1.6535,105.158
4/19/1999,1.6325,103.9373
4/20/1999,1.6374,104.3637
4/21/1999,1.6349,104.1438
4/22/1999,1.6366,103.5574
4/23/1999,1.6257,103.2258
4/26/1999,1.6349,102.9921
4/27/1999,1.6429,103.4401
4/28/1999,1.6324,103.7281
4/29/1999,1.6123,103.107
4/30/1999,1.6078,104.0736
5/3/1999,1.5987,104.5446
5/4/1999,1.5996,103.5993
5/5/1999,1.6194,103.5363
5/6/1999,1.6107,103.5
5/7/1999,1.6122,103.2363
5/10/1999,1.6012,103.547
5/11/1999,1.597,103.6041
5/12/1999,1.5961,104.059
5/13/1999,1.5891,103.4369
5/14/1999,1.6051,102.4157
5/17/1999,1.6117,100.8591
5/18/1999,1.5896,100.5215
5/19/1999,1.6051,100.9458
5/20/1999,1.6083,101.4996
5/21/1999,1.5906,100.4914
5/24/1999,1.6103,100.5458
5/25/1999,1.6134,100.8618
5/26/1999,1.6205,100.699
5/27/1999,1.6057,100.7459
5/28/1999,1.6046,100.5341
5/31/1999,1.6074,101.408
6/1/1999,1.6187,101.7343
6/2/1999,1.6075,102.1534
6/3/1999,1.6082,102.6085
6/4/1999,1.5837,102.5069
6/7/1999,1.5621,102.9289
6/8/1999,1.5732,103.4633
6/9/1999,1.5777,103.3665
6/10/1999,1.5834,101.9577
6/11/1999,1.5796,101.7118
6/14/1999,1.5765,102.4043
6/15/1999,1.5735,101.7024
6/16/1999,1.5754,101.5315
6/17/1999,1.569,102.0322
6/18/1999,1.5907,101.494
6/21/1999,1.5804,102.0136
6/22/1999,1.5847,102.8661
6/23/1999,1.5689,102.5803
6/24/1999,1.5672,103.184
6/25/1999,1.5746,101.7743
6/28/1999,1.5781,102.7251
6/29/1999,1.5775,103.0334
6/30/1999,1.5598,104.1401
7/1/1999,1.5336,103.4436
7/2/1999,1.5347,103.4467
7/5/1999,1.537,103.0853
7/6/1999,1.5274,102.4763
7/7/1999,1.5417,102.9002
7/8/1999,1.5342,101.7463
7/9/1999,1.5289,100.8165
7/12/1999,1.5296,100.0257
7/13/1999,1.5391,100.6783
7/14/1999,1.541,101.1111
7/15/1999,1.5435,101.1379
7/16/1999,1.5459,101.4247
7/19/1999,1.5438,101.5272
7/20/1999,1.5963,101.8945
7/21/1999,1.6235,100.917
7/22/1999,1.6199,100.5677
7/23/1999,1.6175,100.2128
7/26/1999,1.6483,100.323
7/27/1999,1.648,100.7206
7/28/1999,1.6465,99.6216
7/29/1999,1.6455,99.9898
7/30/1999,1.6405,100.6939
8/2/1999,1.6441,99.9432
8/3/1999,1.6293,100.5711
8/4/1999,1.633,101.2386
8/5/1999,1.6449,101.3939
8/6/1999,1.6459,101.2775
8/9/1999,1.6449,100.8968
8/10/1999,1.6476,100.5538
8/11/1999,1.6453,100.897
8/12/1999,1.639,100.4405
8/13/1999,1.6383,100.0978
8/16/1999,1.6184,99.6095
8/17/1999,1.6242,100.5326
8/18/1999,1.6351,100.3793
8/19/1999,1.655,99.8285
8/20/1999,1.6763,100.3492
8/23/1999,1.6639,100.0677
8/24/1999,1.6463,99.5487
8/25/1999,1.6512,99.535
8/26/1999,1.6539,99.776
8/27/1999,1.6488,99.844
8/30/1999,1.6501,100.3496
8/31/1999,1.6564,99.6344
9/1/1999,1.6649,99.8648
9/2/1999,1.6558,100.2727
