Date,BGN,NEER
7/19/2000,1.9469,99.61
7/20/2000,1.9468,99.6573
7/21/2000,1.9465,99.614
7/24/2000,1.9464,99.7428
7/25/2000,1.9462,99.689
7/26/2000,1.9461,99.6156
7/27/2000,1.9462,98.9389
7/28/2000,1.9461,99.5764
7/31/2000,1.9462,99.5527
8/1/2000,1.9461,99.5294
8/2/2000,1.9462,99.2852
8/3/2000,1.9463,99.1497
8/4/2000,1.9462,99.171
8/7/2000,1.9462,99.0724
8/8/2000,1.9461,99.0955
8/9/2000,1.9461,99.1618
8/10/2000,1.9461,99.0685
8/11/2000,1.9461,99.14
8/14/2000,1.9461,99.1899
8/15/2000,1.9461,99.0693
8/16/2000,1.9461,99.0657
8/17/2000,1.9461,99.0428
8/18/2000,1.9461,99.0343
8/21/2000,1.9462,99.1885
8/22/2000,1.9461,98.2507
8/23/2000,1.9461,98.3588
8/24/2000,1.9463,99.3628
8/25/2000,1.9463,99.3608
8/28/2000,1.9463,99.1897
8/29/2000,1.9462,99.176
8/30/2000,1.9461,99.3087
8/31/2000,1.9463,99.3654
9/1/2000,1.9463,99.3807
9/4/2000,1.9474,99.3081
9/5/2000,1.9469,99.3418
9/6/2000,1.9468,99.2029
9/7/2000,1.9466,99.1154
9/8/2000,1.9465,99.3041
9/11/2000,1.9464,99.0975
9/12/2000,1.9464,98.9621
9/13/2000,1.9464,98.9276
9/14/2000,1.9462,98.807
9/15/2000,1.9462,98.6577
9/18/2000,1.9461,98.6731
9/19/2000,1.9461,98.5131
9/20/2000,1.9462,98.4843
9/21/2000,1.9462,98.6711
9/22/2000,1.9462,98.7608
9/25/2000,1.9471,98.7792
9/26/2000,1.947,98.7265
9/27/2000,1.9479,98.6647
9/28/2000,1.9489,98.6174
9/29/2000,1.9482,98.5133
10/2/2000,1.9502,98.4706
10/3/2000,1.9508,98.5582
10/4/2000,1.9486,98.5258
10/5/2000,1.9497,98.4208
10/6/2000,1.9473,98.5106
10/9/2000,1.9493,98.758
10/10/2000,1.9502,98.6476
10/11/2000,1.954,98.5755
10/12/2000,1.9544,98.5122
10/13/2000,1.9487,98.3214
10/16/2000,1.947,98.2867
10/17/2000,1.9463,98.2915
10/18/2000,1.9462,98.3356
10/19/2000,1.946,98.2652
10/20/2000,1.9464,98.3527
10/23/2000,1.9477,98.1836
10/24/2000,1.9461,98.2716
10/25/2000,1.9457,98.2403
10/26/2000,1.9461,98.2998
10/27/2000,1.9462,98.2885
10/30/2000,1.9468,98.1697
10/31/2000,1.9464,98.6776
11/1/2000,1.9464,98.8559
11/2/2000,1.9472,98.9117
11/3/2000,1.9487,98.8316
11/6/2000,1.9477,99.2627
11/7/2000,1.9465,99.113
11/8/2000,1.9463,99.0649
11/9/2000,1.9463,99.1466
11/10/2000,1.9465,99.1205
11/13/2000,1.9462,99.0379
11/14/2000,1.9463,99.0563
11/15/2000,1.9463,99.2467
11/16/2000,1.946,99.2492
