Date,BRL,NEER
1/2/2008,2.601,97.4836
1/3/2008,2.5979,98.0589
1/4/2008,2.5709,98.075
1/7/2008,2.6027,97.4928
1/8/2008,2.5796,97.0473
1/9/2008,2.5897,97.4815
1/10/2008,2.5873,97.7139
1/11/2008,2.6004,98.3406
1/14/2008,2.5956,98.317
1/15/2008,2.5824,98.4922
1/16/2008,2.6127,97.5906
1/17/2008,2.595,98.9452
1/18/2008,2.6026,98.4838
1/21/2008,2.6412,99.906
1/22/2008,2.6579,100.1831
1/23/2008,2.6503,100.395
1/24/2008,2.6339,100.2916
1/25/2008,2.6234,101.2307
1/28/2008,2.6429,101.1705
1/29/2008,2.6226,100.4488
1/30/2008,2.631,99.8277
1/31/2008,2.6241,101.1595
2/1/2008,2.6026,100.7792
2/4/2008,2.5813,101.1324
2/5/2008,2.5645,99.2363
2/6/2008,2.5737,99.8877
2/7/2008,2.5802,99.4288
2/8/2008,2.563,99.2201
2/11/2008,2.5601,98.7652
2/12/2008,2.5428,99.7353
2/13/2008,2.5483,96.6381
2/14/2008,2.5473,97.8069
2/15/2008,2.5757,99.096
2/18/2008,2.5508,96.4407
2/19/2008,2.548,96.3842
2/20/2008,2.5523,96.5203
2/21/2008,2.5241,96.3884
2/22/2008,2.5279,95.5076
2/25/2008,2.5196,95.5901
2/26/2008,2.5278,95.294
2/27/2008,2.5185,96.3149
2/28/2008,2.5263,97.0856
2/29/2008,2.5496,97.3076
3/3/2008,2.5704,98.067
3/4/2008,2.5356,97.8595
3/5/2008,2.5452,98.4866
3/6/2008,2.5483,98.1123
3/7/2008,2.6086,98.3176
3/10/2008,2.5839,98.0236
3/11/2008,2.6,98.8731
3/12/2008,2.6151,99.3361
3/13/2008,2.6364,100.3305
3/14/2008,2.611,100.8398
3/17/2008,2.7199,99.7929
3/18/2008,2.6861,100.1534
3/19/2008,2.6414,100.4461
3/20/2008,2.6853,100.6899
3/25/2008,2.7034,99.7826
3/26/2008,2.7166,100.6222
3/27/2008,2.7275,98.8451
3/28/2008,2.7551,98.6948
3/31/2008,2.7554,101.5534
4/1/2008,2.7452,101.6021
4/2/2008,2.7122,101.1277
4/3/2008,2.6798,101.3428
4/4/2008,2.6954,99.6603
4/7/2008,2.6703,99.0958
4/8/2008,2.6768,100.5361
4/9/2008,2.6645,101.304
4/10/2008,2.6861,100.9604
4/11/2008,2.6774,101.4246
4/14/2008,2.6898,102.254
4/15/2008,2.6635,102.2238
4/16/2008,2.6641,101.7237
4/17/2008,2.6336,100.7584
4/18/2008,2.6116,101.079
4/21/2008,2.6519,101.0588
4/22/2008,2.6469,100.6742
4/23/2008,2.6382,101.6953
4/24/2008,2.6137,102.4643
4/25/2008,2.6197,102.6867
4/28/2008,2.6008,103.1464
4/29/2008,2.6408,102.607
4/30/2008,2.643,103.4726
5/2/2008,2.5588,103.0389
5/5/2008,2.5596,102.3179
5/6/2008,2.5795,102.88
5/7/2008,2.5652,102.4344
5/8/2008,2.6041,102.5547
5/9/2008,2.6279,102.9743
5/12/2008,2.5892,103.2155
5/13/2008,2.5739,103.7024
5/14/2008,2.582,103.9132
5/15/2008,2.5733,104.3799
5/16/2008,2.5513,104.2161
5/19/2008,2.5565,104.2888
5/20/2008,2.5773,103.9555
5/21/2008,2.5893,104.2997
5/22/2008,2.6111,104.9206
5/23/2008,2.6024,103.8872
5/26/2008,2.6154,104.6506
5/27/2008,2.6065,103.725
5/28/2008,2.6033,104.4795
5/29/2008,2.5637,103.4959
5/30/2008,2.5391,104.0105
6/2/2008,2.533,104.267
6/3/2008,2.5267,103.5272
6/4/2008,2.5271,103.494
6/5/2008,2.5048,103.3609
6/6/2008,2.5353,103.9598
6/9/2008,2.5745,103.3788
6/10/2008,2.5328,104.2738
6/11/2008,2.5435,104.196
6/12/2008,2.5307,104.6906
6/13/2008,2.5131,104.6903
6/16/2008,2.5189,105.1654
6/17/2008,2.5062,105.5444
6/18/2008,2.5015,105.3568
6/19/2008,2.488,105.8339
6/20/2008,2.5048,105.6011
6/23/2008,2.4956,106.5303
6/24/2008,2.5089,106.6282
6/25/2008,2.5021,106.8468
6/26/2008,2.5015,106.9549
6/27/2008,2.5282,106.6982
6/30/2008,2.5112,106.5635
7/1/2008,2.5371,106.5542
7/2/2008,2.5231,104.8923
7/3/2008,2.5535,105.8124
7/4/2008,2.5274,105.1409
7/7/2008,2.5168,105.167
7/8/2008,2.511,105.8224
7/9/2008,2.5282,104.7667
7/10/2008,2.5274,104.2034
7/11/2008,2.545,105.4286
7/14/2008,2.5316,105.6095
7/15/2008,2.5562,105.7564
7/16/2008,2.531,105.3118
7/17/2008,2.519,104.5966
7/18/2008,2.5179,105.3954
7/21/2008,2.5122,105.5977
7/22/2008,2.5168,104.828
7/23/2008,2.488,104.3993
7/24/2008,2.4718,103.9266
7/25/2008,2.4808,102.9109
7/28/2008,2.4735,100.5259
7/29/2008,2.4734,102.0094
7/30/2008,2.4405,100.1418
7/31/2008,2.4419,97.7211
8/1/2008,2.4353,96.8198
8/4/2008,2.4325,97.0302
8/5/2008,2.4308,95.4407
8/6/2008,2.4333,95.7946
8/7/2008,2.4356,95.9855
8/8/2008,2.436,95.9011
8/11/2008,2.4094,94.9754
8/12/2008,2.4134,93.7827
8/13/2008,2.4127,93.1165
8/14/2008,2.3983,93.4754
8/15/2008,2.3994,92.313
8/18/2008,2.4025,90.7846
8/19/2008,2.4132,92.2403
8/20/2008,2.3903,90.3125
8/21/2008,2.3922,86.3309
8/22/2008,2.3893,84.1297
8/25/2008,2.3979,82.4453
8/26/2008,2.3985,73.845
8/27/2008,2.3959,80.2863
8/28/2008,2.3922,78.6011
8/29/2008,2.4071,86.9176
9/1/2008,2.4011,86.0403
9/2/2008,2.4027,80.5329
9/3/2008,2.4064,84.7283
9/4/2008,2.4315,85.9854
9/5/2008,2.4622,85.0799
9/8/2008,2.4199,79.2659
9/9/2008,2.4591,73.7174
9/10/2008,2.5159,78.7125
9/11/2008,2.5243,82.0663
9/12/2008,2.536,85.106
9/15/2008,2.5871,85.7216
9/16/2008,2.5945,87.0994
9/17/2008,2.5831,84.413
9/18/2008,2.7169,86.1815
9/19/2008,2.628,86.4046
9/22/2008,2.6283,86.4853
9/23/2008,2.67,84.8094
9/24/2008,2.7024,87.0266
9/25/2008,2.7235,82.2823
9/26/2008,2.7091,80.646
9/29/2008,2.7115,80.4374
9/30/2008,2.7525,81.209
10/1/2008,2.6829,80.9708
10/2/2008,2.7201,79.2875
10/3/2008,2.8411,78.3178
10/6/2008,2.8922,77.5674
10/7/2008,2.9602,79.3369
10/8/2008,3.341,79.4625
10/9/2008,3.062,79.3319
10/10/2008,3.1232,80.2854
10/13/2008,3.022,79.6623
10/14/2008,2.8258,80.844
10/15/2008,2.8435,78.3137
10/16/2008,3.0452,76.128
10/17/2008,2.8745,74.1186
10/20/2008,2.8329,75.6659
10/21/2008,2.8372,74.4526
10/22/2008,3.0008,77.1975
10/23/2008,3.2362,76.8903
10/24/2008,2.9916,76.5156
10/27/2008,2.8469,76.5777
10/28/2008,2.757,76.4281
10/29/2008,2.7782,75.7123
10/30/2008,2.7521,76.4405
10/31/2008,2.6906,76.5834
11/3/2008,2.8096,76.434
11/4/2008,2.7525,76.1996
11/5/2008,2.742,76.2453
11/6/2008,2.7305,77.2519
11/7/2008,2.7851,77.9641
11/10/2008,2.7315,78.9021
11/11/2008,2.8069,83.2882
11/12/2008,2.8484,83.0285
11/13/2008,2.9083,80.728
11/14/2008,2.9419,80.11
11/17/2008,2.9148,80.5218
11/18/2008,2.9279,79.7257
11/19/2008,2.9887,79.8234
11/20/2008,3.0198,77.8751
11/21/2008,3.0627,79.6091
11/24/2008,3.0215,79.5033
11/25/2008,3.0243,79.0919
11/26/2008,3.0393,80.2287
11/27/2008,2.9077,79.9804
11/28/2008,2.9707,80.936
12/1/2008,2.9823,80.553
12/2/2008,2.9546,81.0859
12/3/2008,3.039,82.0659
12/4/2008,3.131,81.3769
12/5/2008,3.2246,80.1385
12/8/2008,3.158,81.1346
12/9/2008,3.1845,81.5287
12/10/2008,3.2406,81.6365
12/11/2008,3.1663,82.4436
12/12/2008,3.1993,83.4291
12/15/2008,3.2481,83.1628
12/16/2008,3.2705,81.6363
12/17/2008,3.3228,82.0515
12/18/2008,3.4374,82.8599
12/19/2008,3.3024,82.4738
12/22/2008,3.3077,81.8271
12/23/2008,3.3219,81.758
12/24/2008,3.3338,80.3557
12/29/2008,3.3777,79.8717
12/30/2008,3.3127,79.6723
12/31/2008,3.2436,79.9183
1/2/2009,3.2456,80.9101
1/5/2009,3.1619,80.6287
1/6/2009,2.9517,79.8462
1/7/2009,2.9977,79.8373
1/8/2009,3.0902,80.3638
1/9/2009,3.1228,81.0295
1/12/2009,3.0656,80.5728
1/13/2009,3.0785,81.0797
1/14/2009,3.0598,81.2334
1/15/2009,3.1307,82.3124
1/16/2009,3.0853,82.4388
1/19/2009,3.0813,83.1996
1/20/2009,3.05,83.2299
1/21/2009,3.0597,83.2847
1/22/2009,3.0259,82.7748
1/23/2009,3.0121,82.9356
1/26/2009,3.005,82.8479
1/27/2009,3.0462,82.8571
1/28/2009,3.0381,82.5567
1/29/2009,2.9795,82.8649
1/30/2009,2.964,83.128
2/2/2009,3.005,82.7294
2/3/2009,2.9841,81.4766
2/4/2009,2.9618,81.3691
2/5/2009,2.9559,81.5639
2/6/2009,2.9229,83.3818
2/9/2009,2.917,84.0989
2/10/2009,2.9208,84.1375
2/11/2009,2.9763,83.6114
