Date,CAD,NEER
1/4/1999,1.8004,101.1091
1/5/1999,1.7965,101.4397
1/6/1999,1.7711,101.2451
1/7/1999,1.7602,101.3099
1/8/1999,1.7643,101.4966
1/11/1999,1.7463,101.2809
1/12/1999,1.7392,101.4464
1/13/1999,1.8123,102.0646
1/14/1999,1.7707,101.8158
1/15/1999,1.7797,101.7144
1/18/1999,1.7717,102.3686
1/19/1999,1.7739,102.6522
1/20/1999,1.7626,102.2931
1/21/1999,1.7529,102.1654
1/22/1999,1.7515,102.4579
1/25/1999,1.762,102.916
1/26/1999,1.7609,102.9058
1/27/1999,1.7526,102.7533
1/28/1999,1.7374,103.1408
1/29/1999,1.726,103.3761
2/1/1999,1.7123,103.9554
2/2/1999,1.7079,104.5967
2/3/1999,1.7151,104.9466
2/4/1999,1.6951,104.5101
2/5/1999,1.6765,105.0424
2/8/1999,1.6725,104.2819
2/9/1999,1.6944,104.2749
2/10/1999,1.6945,104.5556
2/11/1999,1.685,104.6241
2/12/1999,1.6752,104.1499
2/15/1999,1.6781,104.5412
2/16/1999,1.6807,103.8362
2/17/1999,1.688,104.5238
2/18/1999,1.676,104.0264
2/19/1999,1.6616,104.0957
2/22/1999,1.6351,104.5125
2/23/1999,1.6423,104.5026
2/24/1999,1.6582,104.666
2/25/1999,1.6543,104.0697
2/26/1999,1.6684,104.0012
3/1/1999,1.6579,103.3743
3/2/1999,1.6605,103.367
3/3/1999,1.6615,102.9201
3/4/1999,1.6609,103.3041
3/5/1999,1.6489,103.4649
3/8/1999,1.6527,104.0098
3/9/1999,1.6447,104.0181
3/10/1999,1.6607,103.4388
3/11/1999,1.6586,103.6336
3/12/1999,1.6658,104.4243
3/15/1999,1.6712,104.4468
3/16/1999,1.6658,104.2615
3/17/1999,1.6685,104.2996
3/18/1999,1.6728,104.8629
3/19/1999,1.6543,104.1251
3/22/1999,1.6426,104.4795
3/23/1999,1.6415,104.0555
3/24/1999,1.647,103.9974
3/25/1999,1.6471,103.7676
3/26/1999,1.6281,104.029
3/29/1999,1.6185,103.6825
3/30/1999,1.6223,103.3411
3/31/1999,1.6211,104.312
4/1/1999,1.6205,103.8981
4/2/1999,1.6162,104.3573
4/5/1999,1.6096,104.1495
4/6/1999,1.614,104.1711
4/7/1999,1.6246,104.1252
4/8/1999,1.6215,103.6431
4/9/1999,1.6202,103.2333
4/12/1999,1.6281,102.9372
4/13/1999,1.6049,103.2639
4/14/1999,1.6103,103.0945
4/15/1999,1.6114,102.642
4/16/1999,1.5851,102.3491
4/19/1999,1.5759,101.8812
4/20/1999,1.5825,101.3976
4/21/1999,1.5775,100.978
4/22/1999,1.573,100.2687
4/23/1999,1.5725,100.7472
4/26/1999,1.5692,100.4715
4/27/1999,1.5744,100.6183
4/28/1999,1.5725,100.7916
4/29/1999,1.5607,100.5269
4/30/1999,1.5519,101.3529
5/3/1999,1.5415,101.2246
5/4/1999,1.5343,101.0977
5/5/1999,1.5535,101.168
5/6/1999,1.563,100.9495
5/7/1999,1.5725,101.6745
5/10/1999,1.5662,102.1647
