Date,CYP,NEER
1/4/1999,0.58231,101.9223
1/5/1999,0.5823,102.16
1/6/1999,0.582,102.4645
1/7/1999,0.58187,102.2825
1/8/1999,0.58187,102.0488
1/11/1999,0.58167,102.3221
1/12/1999,0.5814,101.7323
1/13/1999,0.5819,102.0586
1/14/1999,0.5819,101.6023
1/15/1999,0.58187,101.4945
1/18/1999,0.58163,101.6927
1/19/1999,0.58176,101.6185
1/20/1999,0.58166,101.5273
1/21/1999,0.58163,101.9048
1/22/1999,0.58173,102.1223
1/25/1999,0.58167,101.8438
1/26/1999,0.58189,101.6448
1/27/1999,0.58146,101.7981
1/28/1999,0.58122,101.5013
1/29/1999,0.58112,101.5962
2/1/1999,0.58109,101.8824
2/2/1999,0.58086,101.9372
2/3/1999,0.58092,102.3703
2/4/1999,0.58072,101.9796
2/5/1999,0.58089,101.7288
2/8/1999,0.5808,101.7116
2/9/1999,0.58089,101.8892
2/10/1999,0.58092,101.9317
2/11/1999,0.58088,102.1885
2/12/1999,0.58065,102.4062
2/15/1999,0.58072,102.4956
2/16/1999,0.58052,102.6209
2/17/1999,0.58065,102.5341
2/18/1999,0.58069,103.0446
2/19/1999,0.58048,102.9784
2/22/1999,0.58,103.0706
2/23/1999,0.57988,102.9167
2/24/1999,0.57991,102.5681
2/25/1999,0.58001,102.7567
2/26/1999,0.58001,102.8972
3/1/1999,0.57991,102.5367
3/2/1999,0.57954,102.7069
3/3/1999,0.57968,102.8003
3/4/1999,0.57951,102.8167
3/5/1999,0.57944,103.0577
3/8/1999,0.57968,102.8448
3/9/1999,0.57954,102.7348
3/10/1999,0.57981,101.8732
3/11/1999,0.57964,101.8545
3/12/1999,0.57971,101.713
3/15/1999,0.57978,102.2175
3/16/1999,0.57951,102.4125
3/17/1999,0.57984,102.455
3/18/1999,0.57998,102.3666
3/19/1999,0.57974,102.235
3/22/1999,0.57954,102.9327
3/23/1999,0.57964,103.0806
3/24/1999,0.57971,102.916
3/25/1999,0.57971,102.4139
3/26/1999,0.57934,102.5323
3/29/1999,0.57917,102.5068
3/30/1999,0.57904,102.6034
3/31/1999,0.57907,102.7763
4/1/1999,0.58036,102.885
4/2/1999,0.58036,103.2367
4/5/1999,0.5794,103.2799
4/6/1999,0.57911,103.5568
4/7/1999,0.57927,103.4994
4/8/1999,0.57934,103.7367
4/9/1999,0.58043,103.3492
4/12/1999,0.58051,103.2645
4/13/1999,0.5793,103.121
4/14/1999,0.5793,103.1629
4/15/1999,0.57931,103.1511
4/16/1999,0.57897,102.1216
4/19/1999,0.57884,102.2416
4/20/1999,0.57884,102.0685
4/21/1999,0.57864,101.5923
4/22/1999,0.57874,100.9975
4/23/1999,0.57877,101.4026
4/26/1999,0.5787,101.2295
4/27/1999,0.5788,100.8562
4/28/1999,0.5789,100.7238
4/29/1999,0.5787,100.5405
4/30/1999,0.57864,100.8087
5/3/1999,0.57867,100.3722
5/4/1999,0.57854,100.445
5/5/1999,0.5788,100.6691
5/6/1999,0.57937,100.4879
5/7/1999,0.57931,100.7705
5/10/1999,0.57911,101.0233
5/11/1999,0.57917,100.695
5/12/1999,0.57884,100.9543
5/13/1999,0.57884,100.9257
5/14/1999,0.5789,100.6156
5/17/1999,0.5789,100.1577
5/18/1999,0.57897,99.6552
5/19/1999,0.57877,99.9497
5/20/1999,0.5788,100.322
5/21/1999,0.57867,100.2764
5/24/1999,0.5786,100.3457
5/25/1999,0.57874,100.3565
5/26/1999,0.5785,100.2015
5/27/1999,0.57803,99.3832
5/28/1999,0.57824,99.337
5/31/1999,0.5785,99.1752
6/1/1999,0.57803,99.3659
6/2/1999,0.57777,99.9863
6/3/1999,0.5778,99.7188
6/4/1999,0.57767,99.2537
6/7/1999,0.5776,99.5269
6/8/1999,0.57787,99.1361
6/9/1999,0.57817,99.1945
6/10/1999,0.57813,98.5966
6/11/1999,0.57824,98.6542
6/14/1999,0.57817,99.1805
6/15/1999,0.57797,99.4768
6/16/1999,0.5778,98.7336
6/17/1999,0.57777,98.3545
6/18/1999,0.5777,98.5192
6/21/1999,0.57773,98.515
6/22/1999,0.57777,98.8516
6/23/1999,0.57763,98.9939
6/24/1999,0.57777,98.9717
6/25/1999,0.5792,98.4268
6/28/1999,0.5779,98.2167
6/29/1999,0.5778,98.3548
6/30/1999,0.5777,98.4747
7/1/1999,0.5778,98.6009
7/2/1999,0.57737,98.5973
7/5/1999,0.57737,98.7547
7/6/1999,0.5773,98.4007
7/7/1999,0.5776,98.6166
7/8/1999,0.57723,98.4425
7/9/1999,0.5772,97.9032
7/12/1999,0.57703,97.7103
7/13/1999,0.57707,97.9714
7/14/1999,0.57717,98.1824
7/15/1999,0.5773,98.0791
7/16/1999,0.57723,98.0354
7/19/1999,0.57703,98.1717
7/20/1999,0.57787,98.0787
7/21/1999,0.57817,98.0945
7/22/1999,0.5783,98.1915
7/23/1999,0.5783,98.5745
7/26/1999,0.5789,98.3597
7/27/1999,0.57874,98.1678
7/28/1999,0.5783,98.2894
7/29/1999,0.57894,98.7501
7/30/1999,0.57901,98.9013
8/2/1999,0.57887,98.5772
8/3/1999,0.57884,98.6366
8/4/1999,0.57921,98.7292
8/5/1999,0.57927,98.7814
8/6/1999,0.57911,98.9515
8/9/1999,0.57894,98.6097
8/10/1999,0.57917,98.7229
8/11/1999,0.57894,99.1659
8/12/1999,0.5788,98.7498
8/13/1999,0.57887,98.6005
8/16/1999,0.57854,98.723
8/17/1999,0.57837,98.8546
8/18/1999,0.5784,98.5093
8/19/1999,0.5784,98.4328
8/20/1999,0.5789,98.5453
8/23/1999,0.57877,98.5967
8/24/1999,0.57834,98.6881
8/25/1999,0.5781,98.2948
