Date,CZK,NEER
1/4/1999,35.107,96.2587
1/5/1999,34.917,96.4184
1/6/1999,34.85,96.6026
1/7/1999,34.886,97.1278
1/8/1999,34.938,97.4158
1/11/1999,35.173,97.432
1/12/1999,35.25,97.3135
1/13/1999,36.113,97.0548
1/14/1999,35.698,97.4217
1/15/1999,35.86,98.1624
1/18/1999,35.615,97.3721
1/19/1999,35.745,97.6993
1/20/1999,35.773,97.492
1/21/1999,36.06,97.5046
1/22/1999,36.287,97.3031
1/25/1999,36.211,97.4777
1/26/1999,36.615,97.7168
1/27/1999,36.464,97.8647
1/28/1999,36.432,97.5813
1/29/1999,36.827,97.7579
2/1/1999,37.142,97.8631
2/2/1999,37.395,98.1983
2/3/1999,37.168,98.0895
2/4/1999,37.158,98.2204
2/5/1999,37.365,98.5407
2/8/1999,37.71,98.1019
2/9/1999,38.358,98.0073
2/10/1999,38.135,98.3569
2/11/1999,37.94,97.8964
2/12/1999,37.86,97.6884
2/15/1999,38.197,98.1301
2/16/1999,38.23,98.1655
2/17/1999,37.97,98.0598
2/18/1999,37.993,97.8817
2/19/1999,37.773,97.3923
2/22/1999,37.873,97.4789
2/23/1999,37.847,97.5707
2/24/1999,37.992,97.3609
2/25/1999,37.994,97.2802
2/26/1999,37.908,97.3241
3/1/1999,37.57,97.8627
3/2/1999,37.583,97.7921
3/3/1999,37.551,97.8651
3/4/1999,37.518,97.7287
3/5/1999,37.283,97.6953
3/8/1999,37.603,97.7496
3/9/1999,37.967,98.2525
3/10/1999,37.94,98.4796
3/11/1999,37.833,98.4663
3/12/1999,37.99,98.7534
3/15/1999,37.85,98.9939
3/16/1999,38.05,98.9561
3/17/1999,37.96,98.8434
3/18/1999,37.99,98.8971
3/19/1999,37.947,99.3077
3/22/1999,38.142,99.3856
3/23/1999,38.303,99.3149
3/24/1999,38.583,99.1019
3/25/1999,38.457,99.3321
3/26/1999,38.355,99.5875
3/29/1999,38.54,99.932
3/30/1999,38.44,100.6107
3/31/1999,38.393,101.0994
4/1/1999,38.482,101.0203
4/2/1999,38.442,101.1334
4/5/1999,38.487,101.0264
4/6/1999,38.352,100.8326
4/7/1999,38.199,100.6725
4/8/1999,38.063,100.6491
4/9/1999,38.036,100.1719
4/12/1999,38.132,99.5726
4/13/1999,38.155,99.4185
4/14/1999,38,99.4827
4/15/1999,37.71,99.5516
4/16/1999,37.922,100.4349
4/19/1999,37.745,100.0252
4/20/1999,37.832,100.0236
4/21/1999,37.797,100.4094
4/22/1999,37.882,100.6819
4/23/1999,37.839,100.3809
4/26/1999,37.71,100.0322
4/27/1999,37.683,100.5544
4/28/1999,37.807,100.4837
4/29/1999,37.692,100.5631
4/30/1999,37.643,100.5032
5/3/1999,37.507,101.4229
5/4/1999,37.543,101.3973
5/5/1999,37.547,101.2926
5/6/1999,37.529,101.5
5/7/1999,37.69,101.1878
5/10/1999,37.69,101.1686
5/11/1999,37.558,101.3939
5/12/1999,37.667,101.4794
5/13/1999,37.745,101.6504
5/14/1999,37.627,101.3546
5/17/1999,37.629,101.0137
5/18/1999,37.67,101.1453
5/19/1999,37.71,100.8954
5/20/1999,37.911,101.2205
5/21/1999,37.827,100.7834
