Date,GBP,NEER
1/4/1999,0.7111,101.3765
1/5/1999,0.7122,100.9743
1/6/1999,0.7076,100.2687
1/7/1999,0.70585,100.3847
1/8/1999,0.7094,100.9794
1/11/1999,0.7044,100.9828
1/12/1999,0.7066,101.2373
1/13/1999,0.7084,101.677
1/14/1999,0.7062,101.7026
1/15/1999,0.7039,101.433
1/18/1999,0.7013,101.7276
1/19/1999,0.7,102.2915
1/20/1999,0.7014,102.2778
1/21/1999,0.7023,102.0595
1/22/1999,0.7005,102.2195
1/25/1999,0.6989,102.3919
1/26/1999,0.6976,102.4777
1/27/1999,0.6968,102.3135
1/28/1999,0.6928,102.4547
1/29/1999,0.691,102.191
2/1/1999,0.6904,102.4198
2/2/1999,0.6888,102.3854
2/3/1999,0.6925,102.6728
2/4/1999,0.6894,103.0278
2/5/1999,0.6885,102.7318
2/8/1999,0.6888,102.5328
2/9/1999,0.6911,102.4492
2/10/1999,0.6954,102.2044
2/11/1999,0.6975,102.5639
2/12/1999,0.6917,102.8041
2/15/1999,0.6895,102.3938
2/16/1999,0.6854,102.5347
2/17/1999,0.6873,102.6275
2/18/1999,0.6871,102.9079
2/19/1999,0.6838,102.5634
2/22/1999,0.6789,102.4143
2/23/1999,0.6796,101.9127
2/24/1999,0.6883,101.7397
2/25/1999,0.6888,102.2549
2/26/1999,0.6873,102.4815
3/1/1999,0.6829,102.5068
3/2/1999,0.6764,102.9998
3/3/1999,0.6723,103.8072
3/4/1999,0.6759,103.555
3/5/1999,0.6737,104.0492
3/8/1999,0.6776,103.9407
3/9/1999,0.6754,103.0019
3/10/1999,0.6746,102.6075
3/11/1999,0.6694,102.3904
3/12/1999,0.6686,102.8474
3/15/1999,0.6739,103.3285
3/16/1999,0.6703,102.7426
3/17/1999,0.6744,102.387
3/18/1999,0.676,102.7942
3/19/1999,0.6708,102.5664
3/22/1999,0.6677,102.5107
3/23/1999,0.6706,102.2165
3/24/1999,0.6653,102.0108
3/25/1999,0.6668,101.7181
3/26/1999,0.665,101.7329
3/29/1999,0.6615,101.9428
3/30/1999,0.6638,101.5095
3/31/1999,0.6663,102.2008
4/1/1999,0.669,102.1955
4/2/1999,0.672,101.9258
4/5/1999,0.6702,101.1753
4/6/1999,0.6759,101.359
4/7/1999,0.6772,100.9382
4/8/1999,0.6731,101.447
4/9/1999,0.6724,101.4463
4/12/1999,0.6723,101.6176
4/13/1999,0.6671,101.8868
4/14/1999,0.6667,101.9499
4/15/1999,0.6682,101.6696
4/16/1999,0.6633,100.8841
4/19/1999,0.6586,100.635
4/20/1999,0.6589,100.9252
4/21/1999,0.6593,100.9117
4/22/1999,0.6585,100.1523
4/23/1999,0.6583,100.7172
4/26/1999,0.6569,100.5432
4/27/1999,0.6587,101.0286
4/28/1999,0.6583,102.0841
4/29/1999,0.6584,102.0247
4/30/1999,0.6571,102.0574
5/3/1999,0.6571,101.8132
5/4/1999,0.6553,101.4124
5/5/1999,0.6552,101.0818
5/6/1999,0.6601,101.3318
5/7/1999,0.661,101.6004
5/10/1999,0.6604,101.6597
5/11/1999,0.6619,101.6251
5/12/1999,0.6577,101.7299
5/13/1999,0.656,101.6218
5/14/1999,0.6601,101.9553
5/17/1999,0.6598,101.8576
5/18/1999,0.6592,101.8364
5/19/1999,0.6569,101.8175
5/20/1999,0.6591,101.5725
5/21/1999,0.6583,101.2879
5/24/1999,0.6617,101.3857
