Date,HKD,NEER
1/4/1999,9.1332,100.8151
1/5/1999,9.1341,101.1723
1/6/1999,9.101,101.319
1/7/1999,9.0131,101.2541
1/8/1999,9.0302,101.1461
1/11/1999,8.9655,101.3105
1/12/1999,8.9246,100.8883
1/13/1999,9.1008,101.1137
1/14/1999,9.0288,100.8507
1/15/1999,9.0102,100.83
1/18/1999,8.9944,100.9111
1/19/1999,8.9944,100.9594
1/20/1999,8.9605,101.0074
1/21/1999,8.9647,101.1141
1/22/1999,8.9738,101.1652
1/25/1999,8.9765,101.0378
1/26/1999,8.9808,100.9781
1/27/1999,8.935,100.9714
1/28/1999,8.8428,100.8668
1/29/1999,8.8192,100.92
2/1/1999,8.7839,101.0536
2/2/1999,8.7849,101.0656
2/3/1999,8.7874,101.2794
2/4/1999,8.7296,101.0681
2/5/1999,8.752,100.8651
2/8/1999,8.7144,100.8682
2/9/1999,8.7841,100.9638
2/10/1999,8.7883,100.9283
2/11/1999,8.7701,101.1526
2/12/1999,8.7163,101.2566
2/15/1999,8.7086,101.3124
2/16/1999,8.6603,101.3142
2/17/1999,8.7223,101.2693
2/18/1999,8.702,101.5603
2/19/1999,8.6551,101.4965
2/22/1999,8.5185,101.5809
2/23/1999,8.482,101.5021
2/24/1999,8.5495,101.3461
2/25/1999,8.5466,101.469
2/26/1999,8.5382,101.5398
3/1/1999,8.5139,101.3835
3/2/1999,8.4354,101.44
3/3/1999,8.4416,101.556
3/4/1999,8.4176,101.5103
3/5/1999,8.3959,101.616
3/8/1999,8.449,101.474
3/9/1999,8.4209,101.4287
3/10/1999,8.4851,100.9887
3/11/1999,8.4418,100.9812
3/12/1999,8.4693,100.916
3/15/1999,8.4867,101.17
3/16/1999,8.4414,101.2656
3/17/1999,8.4973,101.3543
3/18/1999,8.5329,101.2773
3/19/1999,8.459,101.2179
3/22/1999,8.4195,101.505
3/23/1999,8.4419,101.4453
3/24/1999,8.4693,101.4661
3/25/1999,8.4371,101.2464
3/26/1999,8.3737,101.3456
3/29/1999,8.2848,101.3799
3/30/1999,8.3049,101.4253
3/31/1999,8.3226,101.5169
4/1/1999,8.3687,101.4896
4/2/1999,8.3492,101.6978
4/5/1999,8.3338,101.7405
4/6/1999,8.3165,101.9021
4/7/1999,8.3786,101.8864
4/8/1999,8.3819,101.9538
4/9/1999,8.3495,101.797
4/12/1999,8.4257,101.6162
4/13/1999,8.343,101.6722
4/14/1999,8.3612,101.6527
4/15/1999,8.3577,101.7184
4/16/1999,8.271,101.1779
4/19/1999,8.2394,101.1517
4/20/1999,8.2394,101.0289
4/21/1999,8.202,100.814
4/22/1999,8.202,100.4104
4/23/1999,8.2404,100.667
4/26/1999,8.223,100.5617
4/27/1999,8.2419,100.3981
4/28/1999,8.2646,100.27
4/29/1999,8.2183,100.2336
4/30/1999,8.2125,100.3057
5/3/1999,8.2073,100.0742
5/4/1999,8.1877,100.1001
5/5/1999,8.2654,100.2473
5/6/1999,8.3697,100.0829
5/7/1999,8.3593,100.3187
5/10/1999,8.321,100.4164
5/11/1999,8.323,100.2072
5/12/1999,8.2498,100.4251
5/13/1999,8.2324,100.43
5/14/1999,8.2729,100.2278
5/17/1999,8.2846,100.0502
5/18/1999,8.2883,101.189
5/19/1999,8.2433,99.9148
5/20/1999,8.2498,100.1185
5/21/1999,8.1967,100.1807
5/24/1999,8.2083,100.2415
5/25/1999,8.2392,100.1922
5/26/1999,8.1688,100.1263
5/27/1999,8.1219,99.6494
5/28/1999,8.1248,99.6329
5/31/1999,8.1078,99.5282
6/1/1999,8.0924,99.6367
6/2/1999,8.048,99.9313
6/3/1999,8.0522,99.7991
6/4/1999,8.0018,99.5691
