Date,HRK,NEER
4/1/2005,7.422,101.645
4/4/2005,7.425,101.5468
4/5/2005,7.419,101.5404
4/6/2005,7.415,101.6501
4/7/2005,7.411,101.7672
4/8/2005,7.402,101.7614
4/11/2005,7.395,102.023
4/12/2005,7.395,102.0263
4/13/2005,7.391,101.9711
4/14/2005,7.375,102.1185
4/15/2005,7.38,102.161
4/18/2005,7.382,102.2948
4/19/2005,7.365,102.5877
4/20/2005,7.383,102.3197
4/21/2005,7.38,102.4035
4/22/2005,7.386,102.3127
4/25/2005,7.394,102.028
4/26/2005,7.385,102.1704
4/27/2005,7.375,102.2414
4/28/2005,7.365,102.4056
4/29/2005,7.362,102.4947
5/2/2005,7.355,102.459
5/3/2005,7.355,102.4541
5/4/2005,7.35,102.5758
5/5/2005,7.346,102.5857
5/6/2005,7.344,102.6087
5/9/2005,7.325,102.7173
5/10/2005,7.325,102.8262
5/11/2005,7.332,102.7617
5/12/2005,7.325,102.7021
5/13/2005,7.309,102.7619
5/16/2005,7.31,102.8633
5/17/2005,7.315,102.8129
5/18/2005,7.33,102.5744
5/19/2005,7.322,102.6685
5/20/2005,7.321,102.668
5/23/2005,7.326,102.5239
5/24/2005,7.313,102.7991
5/25/2005,7.3151,102.7322
5/26/2005,7.318,102.6366
5/27/2005,7.315,102.6849
5/30/2005,7.32,102.4785
5/31/2005,7.327,102.1052
6/1/2005,7.3255,102.0003
6/2/2005,7.321,102.0713
6/3/2005,7.3248,101.9978
6/6/2005,7.332,101.8133
6/7/2005,7.3255,101.8581
6/8/2005,7.315,102.0894
6/9/2005,7.313,102.0171
6/10/2005,7.305,102.0853
6/13/2005,7.315,101.7629
6/14/2005,7.3052,101.9922
6/15/2005,7.295,102.0299
6/16/2005,7.303,101.9761
6/17/2005,7.31,101.959
6/20/2005,7.3257,101.8168
6/21/2005,7.324,101.6452
6/22/2005,7.3251,101.6315
6/23/2005,7.3202,101.6003
6/24/2005,7.323,101.6466
6/27/2005,7.325,101.7692
6/28/2005,7.316,101.8378
6/29/2005,7.3101,101.9113
6/30/2005,7.313,101.9657
7/1/2005,7.3045,102.1225
7/4/2005,7.325,101.5601
7/5/2005,7.3248,101.6017
7/6/2005,7.3295,101.5797
7/7/2005,7.325,101.8017
7/8/2005,7.317,101.8453
7/11/2005,7.3101,102.074
7/12/2005,7.3128,102.2478
7/13/2005,7.3068,102.3966
7/14/2005,7.3098,102.152
7/15/2005,7.31,102.1848
7/18/2005,7.303,102.2398
7/19/2005,7.3025,102.157
7/20/2005,7.2998,102.3934
7/21/2005,7.2995,102.3557
7/22/2005,7.3,102.259
7/25/2005,7.2998,102.1505
7/26/2005,7.2995,102.0508
7/27/2005,7.303,102.0047
7/28/2005,7.3028,102.1388
7/29/2005,7.303,102.0937
8/1/2005,7.3025,102.2588
8/2/2005,7.3048,102.1619
8/3/2005,7.3265,101.9798
8/4/2005,7.355,101.6107
8/5/2005,7.3599,101.6487
8/8/2005,7.3775,101.3317
8/9/2005,7.3625,101.5373
8/10/2005,7.368,101.4162
8/11/2005,7.3668,101.4368
8/12/2005,7.3535,101.6815
8/15/2005,7.3601,101.4636
8/16/2005,7.361,101.3238
8/17/2005,7.3645,101.2727
8/18/2005,7.3845,100.8694
8/19/2005,7.383,100.8872
8/22/2005,7.38,100.9659
8/23/2005,7.38,101.0443
8/24/2005,7.3802,101.0028
