Date,HUF,NEER
1/4/1999,251.48,98.4284
1/5/1999,250.8,98.6666
1/6/1999,250.67,98.9417
1/7/1999,250.09,98.724
1/8/1999,250.15,98.8865
1/11/1999,249.7,98.8948
1/12/1999,249.2,98.4462
1/13/1999,255.01,98.678
1/14/1999,253.84,98.6375
1/15/1999,253.34,98.6167
1/18/1999,250.78,98.7189
1/19/1999,250.64,99.0301
1/20/1999,249.99,99.1484
1/21/1999,250.17,99.4847
1/22/1999,250.16,99.8054
1/25/1999,250.47,99.037
1/26/1999,250.69,99.2786
1/27/1999,250.08,99.3557
1/28/1999,249.34,99.1888
1/29/1999,249.24,99.3221
2/1/1999,248.97,99.349
2/2/1999,248.99,99.5273
2/3/1999,249,99.7404
2/4/1999,248.77,99.6394
2/5/1999,248.91,99.8034
2/8/1999,248.64,99.3996
2/9/1999,249.75,99.7219
2/10/1999,251.05,100.0068
2/11/1999,249.64,99.6887
2/12/1999,249.32,99.7082
2/15/1999,249.66,99.7662
2/16/1999,249.56,99.7547
2/17/1999,251.09,99.842
2/18/1999,252.06,99.9963
2/19/1999,251.88,99.899
2/22/1999,250.12,99.7203
2/23/1999,249.9,99.6789
2/24/1999,252.23,99.4726
2/25/1999,252.56,99.4453
2/26/1999,253.91,99.4901
3/1/1999,254.53,99.3609
3/2/1999,252.14,99.5946
3/3/1999,254.02,99.6581
3/4/1999,254.62,99.6123
3/5/1999,253.16,99.5838
3/8/1999,250.51,99.4862
3/9/1999,250.34,99.5478
3/10/1999,252.83,99.3678
3/11/1999,252.87,99.3018
3/12/1999,253.34,99.2296
3/15/1999,253.46,99.1645
3/16/1999,253.66,99.137
3/17/1999,253.81,99.302
3/18/1999,254.6,99.1868
3/19/1999,253.64,99.1645
3/22/1999,253.25,99.2438
3/23/1999,254.12,99.4197
3/24/1999,256.11,99.158
3/25/1999,255.25,99.0112
3/26/1999,253.9,99.1044
3/29/1999,253.96,99.0657
3/30/1999,254.89,99.0838
3/31/1999,254.82,99.0036
4/1/1999,254.41,99.0341
4/2/1999,253.97,99.1124
4/5/1999,253.3,99.1185
4/6/1999,253.16,99.3238
4/7/1999,254.12,99.0815
4/8/1999,253.53,99.0834
4/9/1999,253.33,99.0244
4/12/1999,254.82,99.0226
4/13/1999,253.69,98.928
4/14/1999,253.67,98.8893
4/15/1999,253.65,98.9012
4/16/1999,252.68,98.718
4/19/1999,251.52,98.7469
4/20/1999,251.27,98.6194
4/21/1999,250.21,98.5188
4/22/1999,249.49,98.2853
4/23/1999,251.6,98.442
4/26/1999,250.7,98.4135
4/27/1999,250.74,98.2681
4/28/1999,251.27,98.152
4/29/1999,250.58,98.1419
4/30/1999,250.52,98.197
5/3/1999,250.02,98.1755
5/4/1999,249.5,98.0606
5/5/1999,250.19,98.0912
5/6/1999,250.6,98.045
5/7/1999,251.55,98.0943
5/10/1999,250.48,98.0443
5/11/1999,249.78,97.9445
5/12/1999,250.06,98.0119
5/13/1999,249.99,98.0018
5/14/1999,250.27,97.8324
5/17/1999,250.46,97.7656
5/18/1999,250.28,97.6531
5/19/1999,249.73,97.7163
5/20/1999,250.05,97.7949
5/21/1999,250.09,97.7869
5/24/1999,250.28,97.7642
5/25/1999,250.97,97.7642
5/26/1999,250.43,97.7314
5/27/1999,249.93,97.5278
5/28/1999,250.12,97.4865
5/31/1999,249.64,97.1043
6/1/1999,249.2,97.1232
6/2/1999,248.62,97.1874
6/3/1999,248.78,97.2634
6/4/1999,248.41,97.1241
6/7/1999,248.55,97.0906
6/8/1999,248.94,96.7313
6/9/1999,249.59,97.009
6/10/1999,249.8,96.5835
6/11/1999,249.83,96.48
6/14/1999,249.87,96.4226
6/15/1999,249.8,96.5886
6/16/1999,249.07,96.5816
6/17/1999,249.22,96.5642
6/18/1999,249.55,96.2404
6/21/1999,249.32,96.1791
6/22/1999,249.13,96.4278
6/23/1999,248.57,96.2291
6/24/1999,249.48,96.1929
6/25/1999,250.55,96.0898
6/28/1999,249.99,95.7427
6/29/1999,249.87,95.9939
6/30/1999,249.64,96.1149
7/1/1999,249.3,96.167
7/2/1999,249.12,96.1154
7/5/1999,249.08,96.2574
7/6/1999,248.97,96.4824
7/7/1999,249.06,96.3025
