Date,IDR,NEER
4/1/2005,12272.17,102.1085
4/4/2005,12219.53,101.9904
4/5/2005,12163.1,102.2464
4/6/2005,12191.28,101.897
4/7/2005,12263.93,102.2386
4/8/2005,12178.05,102.6542
4/11/2005,12309.48,102.4035
4/12/2005,12318.87,102.7422
4/13/2005,12253.29,102.8563
4/14/2005,12204.64,102.8888
4/15/2005,12272.21,103.7922
4/18/2005,12422.39,103.7962
4/19/2005,12443.67,103.0712
4/20/2005,12508.12,103.6525
4/21/2005,12633.62,103.8535
4/22/2005,12652,107.5922
4/25/2005,12641.85,108.1385
4/26/2005,12572.1,111.966
4/27/2005,12351.52,112.3181
4/28/2005,12362.99,111.0947
4/29/2005,12386.89,110.4053
5/2/2005,12264.87,113.028
5/3/2005,12258.2,115.1866
5/4/2005,12318.3,115.7349
5/5/2005,12319.25,113.8321
5/6/2005,12283.47,114.0156
5/9/2005,12160.36,114.2923
5/10/2005,12153.46,113.4221
5/11/2005,12181.22,110.9435
5/12/2005,12094.14,111.7728
5/13/2005,11971.66,111.3794
5/16/2005,11953.66,112.0743
5/17/2005,11909.43,110.8447
5/18/2005,11926.85,110.897
5/19/2005,11946.69,110.5033
5/20/2005,11913.62,110.4261
5/23/2005,11882.96,110.1235
5/24/2005,11948.3,111.4125
5/25/2005,11906.27,116.1682
5/26/2005,11884.33,117.8931
5/27/2005,11907.76,114.9512
5/30/2005,11830.94,115.4657
5/31/2005,11723.7,115.994
6/1/2005,11708.31,119.8736
6/2/2005,11741.82,122.8104
6/3/2005,11772.86,123.0964
6/6/2005,11772.53,122.9795
6/7/2005,11738.32,122.5649
6/8/2005,11812.55,128.3009
6/9/2005,11780.04,134.2826
6/10/2005,11739.84,132.9978
6/13/2005,11615.71,129.6845
6/14/2005,11631.66,135.3981
6/15/2005,11595.29,134.416
6/16/2005,11663.72,130.9218
6/17/2005,11714.27,131.4715
6/20/2005,11773.49,133.9944
6/21/2005,11686.31,133.8968
6/22/2005,11704.68,136.3559
6/23/2005,11643.69,135.7699
6/24/2005,11659.13,136.4414
6/27/2005,11754.07,135.8921
6/28/2005,11732.15,135.6825
6/29/2005,11713.47,134.2136
6/30/2005,11804.82,133.0107
7/1/2005,11815.04,134.0234
7/4/2005,11733.43,133.5837
7/5/2005,11734.46,133.1854
7/6/2005,11650.91,128.7668
7/7/2005,11717.86,125.8154
7/8/2005,11669.49,126.9364
7/11/2005,11720.86,128.8958
7/12/2005,11900.78,129.6634
7/13/2005,11922.04,129.0719
7/14/2005,11834.71,128.5413
7/15/2005,11795.32,128.1657
7/18/2005,11818.95,127.3169
7/19/2005,11748.43,125.2897
7/20/2005,11876.02,125.0541
7/21/2005,11900.61,120.0789
7/22/2005,11882.53,112.0345
7/25/2005,11841.8,109.603
7/26/2005,11780.82,111.4566
7/27/2005,11787.37,117.6113
7/28/2005,11893.09,115.1693
