Date,ILS,NEER
1/3/2011,4.7278,101.979
1/4/2011,4.7301,102.5051
1/5/2011,4.6814,102.817
1/6/2011,4.6635,102.8052
1/7/2011,4.648,102.7325
1/10/2011,4.6192,102.7524
1/11/2011,4.5914,103.2029
1/12/2011,4.5968,103.0309
1/13/2011,4.7036,103.4393
1/14/2011,4.745,103.0619
1/17/2011,4.7242,103.0305
1/18/2011,4.725,102.7218
1/19/2011,4.7737,102.3302
1/20/2011,4.8753,101.323
1/21/2011,4.9117,100.767
1/24/2011,4.9168,100.3269
1/25/2011,4.9189,100.5147
1/26/2011,4.9341,100.8715
1/27/2011,5.004,100.8294
1/28/2011,5.0348,100.894
1/31/2011,5.084,100.7868
2/1/2011,5.082,100.4066
2/2/2011,5.0803,99.732
2/3/2011,5.071,99.8156
2/4/2011,5.0716,100.3458
2/7/2011,4.9969,100.6321
2/8/2011,5.0146,101.5368
2/9/2011,5.0013,102.1165
2/10/2011,5.0257,101.9171
2/11/2011,4.9867,101.8815
2/14/2011,4.9347,101.6296
2/15/2011,4.9259,101.358
2/16/2011,4.88,101.9681
2/17/2011,4.9107,102.3472
2/18/2011,4.9469,102.3096
2/21/2011,4.921,102.4348
2/22/2011,4.9712,103.2238
2/23/2011,4.9872,102.8642
2/24/2011,5.0388,103.2998
2/25/2011,5.0157,102.3832
2/28/2011,5.0148,102.6149
3/1/2011,5.0152,102.4094
3/2/2011,5.0243,102.0269
3/3/2011,5.0002,103.0545
3/4/2011,5.048,102.9726
3/7/2011,5.0482,103.7093
3/8/2011,4.9755,103.4903
3/9/2011,4.9636,103.1764
3/10/2011,4.9229,103.391
3/11/2011,4.9341,102.3712
3/14/2011,4.9543,101.8123
3/15/2011,4.9768,101.913
3/16/2011,4.9547,103.0909
3/17/2011,4.9838,103.6494
3/18/2011,5.007,104.191
3/21/2011,5.016,103.8356
3/22/2011,5.0094,103.5724
3/23/2011,5.005,103.8647
3/24/2011,5.0289,103.796
3/25/2011,5.014,103.8949
3/28/2011,4.9726,104.0988
3/29/2011,4.9508,103.7864
3/30/2011,4.9448,103.5357
3/31/2011,4.9439,103.7587
4/1/2011,4.916,103.9973
4/4/2011,4.9329,103.7787
4/5/2011,4.9125,102.9093
4/6/2011,4.9493,102.0451
4/7/2011,4.9347,102.019
4/8/2011,4.9483,101.7371
4/11/2011,4.968,101.1147
4/12/2011,4.9841,100.8089
4/13/2011,4.9382,100.137
4/14/2011,4.9366,99.717
4/15/2011,4.9416,99.2895
4/18/2011,4.9054,99.6781
4/19/2011,4.9137,99.2793
4/20/2011,4.9544,99.0451
4/21/2011,4.9644,99.6377
4/26/2011,4.99,98.6232
4/27/2011,5.0134,99.2762
4/28/2011,5.0499,99.6537
4/29/2011,5.0359,99.9711
5/2/2011,5.0068,99.5625
5/3/2011,5.0102,99.5034
5/4/2011,5.0515,99.5865
5/5/2011,5.0445,98.0755
5/6/2011,5.0182,97.9859
5/9/2011,4.9598,99.1253
5/10/2011,4.957,99.2257
