Date,INR,NEER
1/2/2009,67.125,100.4867
1/5/2009,65.893,100.8459
1/6/2009,64.827,101.0893
1/7/2009,66.364,100.8553
1/8/2009,65.927,100.7944
1/9/2009,65.936,100.6663
1/12/2009,65.423,101.125
1/13/2009,64.884,100.6927
1/14/2009,64.027,101.0293
1/15/2009,63.829,100.8478
1/16/2009,64.399,100.8718
1/19/2009,64.091,100.7118
1/20/2009,63.538,100.866
1/21/2009,63.53,100.4915
1/22/2009,63.524,100.8456
1/23/2009,62.9,100.6423
1/26/2009,63.092,100.9045
1/27/2009,64.256,100.7319
1/28/2009,64.875,100.4721
1/29/2009,63.877,99.7351
1/30/2009,62.401,99.9308
2/2/2009,62.065,99.8181
2/3/2009,62.189,99.4702
2/4/2009,62.257,100.0333
2/5/2009,62.426,100.1038
2/6/2009,62.093,100.4184
2/9/2009,63.219,100.5179
2/10/2009,63.104,100.3115
2/11/2009,62.956,100.4335
2/12/2009,62.356,100.566
2/13/2009,62.095,100.5222
2/16/2009,62.063,100.708
2/17/2009,62.456,101.2533
2/18/2009,62.577,101.1614
2/19/2009,63.1248,101.2238
2/20/2009,62.483,100.6435
2/23/2009,63.766,101.1187
2/24/2009,63.71,100.9449
2/25/2009,63.77,101.0423
2/26/2009,64.415,100.1014
2/27/2009,64.573,100.2238
3/2/2009,65.354,100.0251
3/3/2009,65.56,99.5473
3/4/2009,64.702,100.2835
3/5/2009,64.997,100.0191
3/6/2009,65.436,100.8335
3/9/2009,65.175,100.3873
3/10/2009,65.9091,100.2502
3/11/2009,65.413,100.5972
3/12/2009,66.326,100.2248
3/13/2009,66.454,99.9124
3/16/2009,67.036,99.841
3/17/2009,66.535,100.1543
3/18/2009,67.344,100.3019
3/19/2009,68.779,100.543
3/20/2009,68.517,100.3736
3/23/2009,68.304,100.2389
3/24/2009,68.508,100.5296
3/25/2009,68.374,100.5728
3/26/2009,68.246,100.8206
3/27/2009,67.333,100.7904
3/30/2009,67.964,100.6934
3/31/2009,67.392,100.183
4/1/2009,66.985,100.2267
4/2/2009,67.429,100.3953
4/3/2009,67.232,99.9977
4/6/2009,67.48,99.348
4/7/2009,66.302,98.7954
4/8/2009,66.406,99.0269
4/9/2009,66.345,98.7218
4/14/2009,65.816,98.576
4/15/2009,65.437,98.1615
4/16/2009,65.66,97.791
4/17/2009,65.107,97.9547
4/20/2009,65.063,98.0106
4/21/2009,65.271,97.7897
4/22/2009,65.162,97.578
4/23/2009,65.165,97.4901
4/24/2009,65.862,97.9999
4/27/2009,65.95,97.6785
4/28/2009,65.632,98.1569
4/29/2009,66.376,98.2415
4/30/2009,66.262,98.8694
5/4/2009,65.996,98.2499
5/5/2009,66.077,98.3839
5/6/2009,66.064,98.2999
5/7/2009,65.612,96.9505
5/8/2009,66.162,97.4315
5/11/2009,67.205,98.1603
5/12/2009,67.481,98.1777
5/13/2009,67.72,98.0692
5/14/2009,67.422,98.3462
5/15/2009,66.769,100.2941
5/18/2009,64.623,100.4226
5/19/2009,65.045,99.6441
5/20/2009,64.918,99.9015
5/21/2009,65.1093,99.208
5/22/2009,65.822,100.1642
5/25/2009,66.274,99.8944
5/26/2009,66.564,100.0218
5/27/2009,66.266,100.1388
5/28/2009,65.968,99.6859
5/29/2009,66.426,99.8459
6/1/2009,66.781,99.8942
6/2/2009,66.942,97.5514
6/3/2009,66.858,100.1331
6/4/2009,66.535,99.2748
6/5/2009,66.791,100.6965
6/8/2009,65.94,99.9875
6/9/2009,66.291,99.7513
6/10/2009,66.745,99.6957
6/11/2009,66.513,99.5244
6/12/2009,66.664,99.0759
6/15/2009,66.085,99.2408
6/16/2009,66.116,98.8007
6/17/2009,66.418,98.909
6/18/2009,66.969,98.7456
6/19/2009,66.888,99.1012
6/22/2009,67.114,99.0254
6/23/2009,67.867,99.7205
6/24/2009,68.083,99.3264
6/25/2009,67.752,98.7439
6/26/2009,67.802,98.7401
6/29/2009,67.549,98.753
6/30/2009,67.518,98.7199
7/1/2009,67.513,99.0963
7/2/2009,67.358,98.6975
7/3/2009,67.075,99.525
7/6/2009,67.505,99.2882
7/7/2009,67.614,99.6839
7/8/2009,67.962,99.6813
7/9/2009,68.145,99.6855
7/10/2009,67.823,99.3998
7/13/2009,68.603,99.7545
