Date,ISK,NEER
1/4/1999,81.48,28.0385
1/5/1999,81.53,28.0319
1/6/1999,81.54,28.0044
1/7/1999,81.06,28.0444
1/8/1999,80.99,28.059
1/11/1999,80.55,28.0699
1/12/1999,80.59,28.0819
1/13/1999,81.24,28.1033
1/14/1999,80.93,28.1384
1/15/1999,80.7,28.1183
1/18/1999,80.62,28.1169
1/19/1999,80.52,28.1265
1/20/1999,80.49,28.1119
1/21/1999,80.32,28.161
1/22/1999,80.44,28.1581
1/25/1999,80.27,28.0444
1/26/1999,80.04,27.9825
1/27/1999,79.88,27.9581
1/28/1999,79.68,27.9434
1/29/1999,79.59,27.9412
2/1/1999,79.66,27.9312
2/2/1999,79.5,27.9254
2/3/1999,79.6,27.9606
2/4/1999,79.32,27.9729
2/5/1999,79.44,27.959
2/8/1999,79.35,27.986
2/9/1999,79.58,27.9583
2/10/1999,79.65,27.9301
2/11/1999,79.7,27.9628
2/12/1999,79.61,28.0429
2/15/1999,79.51,28.0663
2/16/1999,79.68,28.0874
2/17/1999,79.92,28.0932
2/18/1999,79.93,28.1037
2/19/1999,79.75,28.1019
2/22/1999,79.57,28.0777
2/23/1999,79.36,28.1258
2/24/1999,79.54,28.0608
2/25/1999,79.49,28.0326
2/26/1999,79.55,27.9928
3/1/1999,79.16,27.9787
3/2/1999,78.93,27.9657
3/3/1999,78.87,27.9692
3/4/1999,78.96,28.0007
3/5/1999,78.77,27.9835
3/8/1999,78.8,28.0512
3/9/1999,78.69,27.962
3/10/1999,78.76,27.9635
3/11/1999,78.35,27.9281
3/12/1999,78.59,27.921
3/15/1999,78.65,27.7024
3/16/1999,78.45,27.8367
3/17/1999,78.77,27.9045
3/18/1999,78.82,27.8334
3/19/1999,78.48,27.8543
3/22/1999,78.31,27.832
3/23/1999,78.52,27.8176
3/24/1999,78.61,27.8439
3/25/1999,78.48,27.9067
3/26/1999,78.22,27.9978
3/29/1999,77.89,28.0207
3/30/1999,77.98,27.9996
3/31/1999,78.1,27.9503
4/1/1999,78.31,27.9958
4/2/1999,78.33,28.0655
4/5/1999,78.28,28.0387
4/6/1999,78.38,28.1342
4/7/1999,78.96,28.1413
4/8/1999,78.94,28.2571
4/9/1999,78.74,28.348
4/12/1999,79.08,28.2304
4/13/1999,78.71,28.2606
4/14/1999,78.57,28.1232
4/15/1999,78.45,28.1648
4/16/1999,77.97,28.1667
4/19/1999,77.78,27.9671
4/20/1999,77.78,27.9817
4/21/1999,77.7,27.9186
4/22/1999,77.79,27.9818
4/23/1999,77.92,27.9506
4/26/1999,77.87,27.9357
4/27/1999,77.99,27.9172
4/28/1999,77.94,27.8808
4/29/1999,77.89,27.862
4/30/1999,77.93,28.0494
5/3/1999,78.18,28.0379
5/4/1999,78.31,27.9643
5/5/1999,78.59,27.9977
5/6/1999,79.03,27.8379
5/7/1999,79.03,27.8734
5/10/1999,78.95,27.902
5/11/1999,79.05,27.8735
5/12/1999,78.63,27.8903
5/13/1999,78.6,27.7235
5/14/1999,78.57,27.6784
5/17/1999,78.39,27.8181
5/18/1999,78.4,27.7899
5/19/1999,78.17,27.7906
5/20/1999,78.33,27.7925
5/21/1999,78.06,27.7621
5/24/1999,78.21,27.7498
5/25/1999,78.37,27.792
5/26/1999,78.09,27.7284
5/27/1999,78.1,27.6917
5/28/1999,77.98,27.6908
5/31/1999,77.89,27.7675
6/1/1999,77.79,27.7897
6/2/1999,77.46,27.818
6/3/1999,77.44,27.7667
6/4/1999,77.16,27.7071
6/7/1999,77.19,27.7306
6/8/1999,77.31,27.5475
6/9/1999,77.54,27.6095
6/10/1999,77.55,27.3818
6/11/1999,77.38,27.3155
6/14/1999,77.46,27.3108
6/15/1999,77.45,27.2992
6/16/1999,76.68,27.2893
6/17/1999,76.53,27.2693
6/18/1999,76.75,27.3414
6/21/1999,77.27,27.3101
6/22/1999,76.94,27.3432
6/23/1999,76.7,27.3711
6/24/1999,76.72,27.3604
6/25/1999,77.26,27.3631
6/28/1999,77.14,27.4253
6/29/1999,76.87,27.4619
6/30/1999,77.03,27.4183
7/1/1999,76.64,27.403
7/2/1999,76.62,27.4842
7/5/1999,76.58,27.5204
7/6/1999,76.61,27.517
7/7/1999,76.66,27.5237
7/8/1999,76.72,27.5842
7/9/1999,76.87,27.6242
7/12/1999,76.68,27.6415
7/13/1999,76.8,27.5875
7/14/1999,76.8,27.7164
7/15/1999,76.75,27.6917
7/16/1999,76.7,27.598
7/19/1999,76.47,27.6498
7/20/1999,77.28,27.88
7/21/1999,77.67,27.9117
7/22/1999,77.77,27.8969
7/23/1999,77.49,27.8429
7/26/1999,78.19,27.859
7/27/1999,77.9,27.9094
7/28/1999,77.78,27.9414
7/29/1999,78.12,27.9311
7/30/1999,77.8,27.8695
8/2/1999,77.63,27.8245
8/3/1999,77.58,27.8285
8/4/1999,77.94,27.8823
8/5/1999,78.17,27.895
8/6/1999,78.05,27.8624
8/9/1999,77.98,27.859
8/10/1999,78,27.9256
8/11/1999,77.51,27.9459
8/12/1999,77.57,27.9257
8/13/1999,77.57,27.8849
8/16/1999,77.02,27.9758
8/17/1999,77.07,27.8126
8/18/1999,76.92,27.7782
8/19/1999,76.65,27.8337
8/20/1999,76.65,27.8954
8/23/1999,76.95,27.834
8/24/1999,76.75,27.9321
8/25/1999,76.54,27.9365
8/26/1999,76.92,27.9189
8/27/1999,76.86,27.8344
8/30/1999,76.82,27.7886
8/31/1999,76.91,27.8122
9/1/1999,76.98,27.7759
9/2/1999,77.22,27.8706
9/3/1999,77.26,27.9006
9/6/1999,76.92,27.8693
9/7/1999,76.9,27.8637
9/8/1999,76.91,27.9085
9/9/1999,76.73,27.9393
9/10/1999,76.39,28.0654
9/13/1999,75.72,28.1016
9/14/1999,75.96,28.116
9/15/1999,75.96,27.8802
9/16/1999,75.93,27.7844
9/17/1999,76.06,27.6226
9/20/1999,75.82,27.6226
9/21/1999,75.51,27.6736
9/22/1999,75.91,27.7173
9/23/1999,75.61,27.6465
9/24/1999,75.67,27.6938
9/27/1999,75.59,27.5803
9/28/1999,75.75,27.4318
9/29/1999,76.06,27.4051
9/30/1999,76.37,27.3488
10/1/1999,76.42,27.3045
10/4/1999,76.42,27.3687
10/5/1999,76.2,27.3592
10/6/1999,76.15,27.3603
10/7/1999,76.13,27.3319
10/8/1999,75.77,27.3919
10/11/1999,75.62,27.3981
10/12/1999,75.63,27.4383
10/13/1999,76.43,27.3164
10/14/1999,76.16,27.3243
10/15/1999,76.36,27.2097
10/18/1999,76.22,27.1791
10/19/1999,76.02,27.1589
10/20/1999,75.9,27.1679
10/21/1999,75.94,27.2784
10/22/1999,75.74,27.3174
10/25/1999,75.51,27.3289
10/26/1999,75.33,27.4464
10/27/1999,75.01,27.3688
10/28/1999,74.71,27.3643
10/29/1999,74.46,27.2452
11/1/1999,74.81,27.2903
11/2/1999,74.72,27.324
11/3/1999,74.9,27.3079
11/4/1999,74.67,27.372
11/5/1999,74.62,27.3947
11/8/1999,74.71,27.3833
11/9/1999,74.69,27.3799
11/10/1999,74.41,27.3592
11/11/1999,74.62,27.4746
11/12/1999,74.22,27.4575
11/15/1999,74.23,27.5305
11/16/1999,74.31,27.4504
11/17/1999,74.41,27.403
11/18/1999,74.2,27.4209
11/19/1999,74.07,27.4161
11/22/1999,74.01,27.4525
11/23/1999,74.27,27.4761
11/24/1999,74.03,27.5049
11/25/1999,73.87,27.4632
11/26/1999,73.5,27.4675
11/29/1999,73.44,27.5369
11/30/1999,73.55,27.3582
12/1/1999,73.51,27.2638
12/2/1999,73.6,27.1818
12/3/1999,73.38,27.1557
12/6/1999,73.86,27.0744
12/7/1999,73.94,27.0185
12/8/1999,73.77,27.0338
12/9/1999,73.63,27.1917
12/10/1999,73.57,27.1658
12/13/1999,73.44,27.2012
12/14/1999,73.2,27.3766
12/15/1999,73.17,27.3289
12/16/1999,73.53,27.4013
12/17/1999,73.67,27.2419
12/20/1999,73.25,27.2836
12/21/1999,72.99,27.2065
12/22/1999,72.82,27.2778
12/23/1999,72.67,27.3441
12/24/1999,73.04,27.2913
12/27/1999,72.98,27.221
12/28/1999,72.62,27.2696
12/29/1999,72.94,27.2387
12/30/1999,72.83,27.0509
1/3/2000,73.03,26.9998
1/4/2000,73.92,26.9457
1/5/2000,74.3,26.9498
1/6/2000,74.75,26.9362
1/7/2000,74.19,26.8705
1/10/2000,74,26.839
1/11/2000,74.21,26.8676
1/12/2000,73.9,26.9099
1/13/2000,73.82,26.8357
1/14/2000,73.69,26.764
1/17/2000,73.11,26.7837
1/18/2000,73.12,26.797
1/19/2000,73.33,26.8146
1/20/2000,73.09,26.9656
1/21/2000,73,27.0415
1/24/2000,72.9,27.0669
1/25/2000,72.88,27.0584
1/26/2000,72.97,27.0096
1/27/2000,72.58,27.0334
1/28/2000,72.24,27.1034
1/31/2000,72.16,27.0953
2/1/2000,71.65,27.1791
2/2/2000,72.04,27.1772
2/3/2000,72.14,27.1526
2/4/2000,72.54,27.1528
2/7/2000,72.56,27.0807
2/8/2000,72.62,26.9745
2/9/2000,72.79,27.0044
2/10/2000,72.55,27.0028
2/11/2000,72.24,26.9144
2/14/2000,72.15,26.9258
2/15/2000,71.27,26.903
2/16/2000,71.41,26.8984
2/17/2000,71.71,27.0476
2/18/2000,71.44,27.1178
2/21/2000,71.63,27.1609
2/22/2000,72.26,27.2703
2/23/2000,72.33,27.3274
2/24/2000,71.8,27.3637
2/25/2000,71.59,27.4155
2/28/2000,70.9,27.401
2/29/2000,71.2,27.4518
3/1/2000,70.9,27.5134
3/2/2000,71.15,27.5269
3/3/2000,70.89,27.5129
3/6/2000,71.19,27.4824
3/7/2000,71.08,27.5689
3/8/2000,70.98,27.5428
3/9/2000,71.05,27.5722
3/10/2000,70.89,27.5609
3/13/2000,71.27,27.567
3/14/2000,71,27.5147
3/15/2000,71.12,27.4766
3/16/2000,71.18,27.4611
3/17/2000,71.14,27.571
3/20/2000,71.39,27.5692
3/21/2000,71.32,27.5934
3/22/2000,71.2,27.5542
3/23/2000,71.15,27.5522
3/24/2000,71.29,27.5246
3/27/2000,71.15,27.5049
3/28/2000,70.94,27.4728
3/29/2000,70.69,27.4084
3/30/2000,70.43,27.3317
3/31/2000,70.35,27.7212
4/3/2000,70.28,27.7108
4/4/2000,70.28,27.7119
4/5/2000,70.75,27.6922
4/6/2000,70.58,27.8036
4/7/2000,70.48,28.0451
4/10/2000,70.51,28.0693
4/11/2000,70.63,28.0926
4/12/2000,70.46,28.0803
4/13/2000,70.15,28.0536
4/14/2000,70.22,28.1345
4/17/2000,70.35,28.2002
4/18/2000,70.09,28.1889
4/19/2000,69.95,28.2517
4/20/2000,69.55,28.3154
4/25/2000,69.31,28.3705
4/26/2000,69.02,28.3937
4/27/2000,68.98,28.3581
4/28/2000,68.57,28.3876
5/2/2000,69.02,28.402
5/3/2000,68.07,28.4098
5/4/2000,68.37,28.5827
5/5/2000,68.58,28.7137
5/8/2000,68.92,28.5156
5/9/2000,69.03,28.4838
5/10/2000,69.42,28.4292
5/11/2000,69.61,28.3573
5/12/2000,69.22,28.3376
5/15/2000,69.55,28.308
5/16/2000,69.33,28.2478
5/17/2000,68.94,28.2343
5/18/2000,69.02,28.3223
5/19/2000,68.78,28.3338
5/22/2000,69.21,28.3267
5/23/2000,69.78,28.2495
5/24/2000,69.83,28.2094
5/25/2000,69.54,28.1864
5/26/2000,70.1,28.184
5/29/2000,70.5,28.3174
5/30/2000,70.73,28.3114
5/31/2000,70.42,28.2645
6/1/2000,70.49,28.2596
6/2/2000,70.64,28.2231
6/5/2000,70.94,28.2085
6/6/2000,71.52,28.1999
6/7/2000,71.99,28.1779
6/8/2000,72.3,28.1606
6/9/2000,71.9,28.2291
6/12/2000,71.86,28.2109
6/13/2000,72.19,28.2105
6/14/2000,72.85,28.1632
6/15/2000,72.72,28.19
6/16/2000,72.92,28.2917
