Date,JPY,NEER
1/4/1999,133.73,96.6614
1/5/1999,130.96,95.7726
1/6/1999,131.42,96.1391
1/7/1999,129.43,96.4041
1/8/1999,130.09,96.076
1/11/1999,126.33,96.6548
1/12/1999,129.63,96.5198
1/13/1999,131.89,96.0061
1/14/1999,132.74,96.3664
1/15/1999,131.74,96.2415
1/18/1999,132.9,96.9103
1/19/1999,132.14,97.9338
1/20/1999,131.59,97.7137
1/21/1999,130.34,98.0039
1/22/1999,131.88,98.1811
1/25/1999,132.09,97.5717
1/26/1999,131.81,97.1774
1/27/1999,131.91,96.4426
1/28/1999,132.25,94.0083
1/29/1999,132.1,94.178
2/1/1999,130.88,94.3572
2/2/1999,127.7,94.4256
2/3/1999,126.86,95.0562
2/4/1999,127.65,95.364
2/5/1999,127.95,95.2095
2/8/1999,127.82,96.6881
2/9/1999,129.91,96.0482
2/10/1999,130.73,95.7952
2/11/1999,129.35,95.6899
2/12/1999,128.92,96.2284
2/15/1999,129.31,96.4461
2/16/1999,131.82,96.3232
2/17/1999,133.48,96.5276
2/18/1999,134.4,94.9528
2/19/1999,133.97,94.5125
2/22/1999,133.61,93.6135
2/23/1999,133.14,93.0658
2/24/1999,133.86,92.726
2/25/1999,132.87,92.9002
2/26/1999,131.33,92.6854
3/1/1999,131.13,93.7602
3/2/1999,131.37,93.3033
3/3/1999,132.18,94.1012
3/4/1999,133.92,93.7678
3/5/1999,133.19,93.8564
3/8/1999,132.77,93.7722
3/9/1999,132.45,93.2821
3/10/1999,131.74,93.6974
3/11/1999,131,92.8154
3/12/1999,130.8,92.8579
3/15/1999,128.85,93.2155
3/16/1999,128.65,94.2261
3/17/1999,130.18,93.7907
3/18/1999,129.78,93.475
3/19/1999,127.99,93.3331
3/22/1999,128,93.521
3/23/1999,128.94,93.5585
3/24/1999,128.6,94.5901
3/25/1999,128.65,94.6381
3/26/1999,128.93,94.315
3/29/1999,128.78,94.7686
3/30/1999,128.86,95.4278
3/31/1999,127.81,95.1817
4/1/1999,128.72,93.9771
4/2/1999,129.85,94.0956
4/5/1999,130.55,93.3489
4/6/1999,129.99,93.1134
4/7/1999,131.27,93.1849
4/8/1999,130.45,92.6698
4/9/1999,130.75,94.1129
4/12/1999,130.27,94.4073
4/13/1999,129.66,92.1681
4/14/1999,128.55,92.5034
4/15/1999,128.01,91.6047
4/16/1999,126.16,90.8848
4/19/1999,125.67,90.4029
4/20/1999,125.48,89.562
4/21/1999,126.26,88.6215
4/22/1999,126.95,88.2383
4/23/1999,127.25,88.3249
4/26/1999,126.22,90.0058
4/27/1999,127.34,90.3829
4/28/1999,127.05,90.6025
4/29/1999,126.16,90.4996
4/30/1999,126.9,90.6252
5/3/1999,126.93,91.6794
5/4/1999,128.04,91.9229
5/5/1999,128.78,90.9062
5/6/1999,130.6,91.3672
5/7/1999,130.13,91.5842
5/10/1999,129.82,91.0552
5/11/1999,129.97,90.7031
5/12/1999,128.88,90.8422
5/13/1999,129.2,90.694
5/14/1999,130.78,90.4906
5/17/1999,131.47,91.1197
5/18/1999,131.62,90.3952
5/19/1999,132.4,89.6237
5/20/1999,132.16,89.356
5/21/1999,131.25,87.9961
5/24/1999,130.86,87.8647
5/25/1999,130.41,87.8463
5/26/1999,128.77,87.7488
5/27/1999,128.05,87.7311
5/28/1999,126.7,87.5446
5/31/1999,127.18,87.4149
6/1/1999,126.35,87.3128
6/2/1999,125.71,87.3684
6/3/1999,125.8,86.6304
6/4/1999,125.45,86.7766
6/7/1999,124.7,87.1972
6/8/1999,125.99,87.5124
6/9/1999,124.48,86.9752
6/10/1999,124.5,86.7245
6/11/1999,124.09,86.0535
6/14/1999,125.42,85.8947
6/15/1999,125.27,85.4341
6/16/1999,124.4,85.4668
6/17/1999,123.97,85.6332
6/18/1999,124.52,85.8581
6/21/1999,126.3,85.8323
6/22/1999,125.6,85.9559
6/23/1999,125.55,86.2277
6/24/1999,126.05,86.1432
6/25/1999,126.8,86.0054
6/28/1999,125.96,86.1334
6/29/1999,125.3,85.7778
6/30/1999,124.82,85.8136
7/1/1999,124.12,85.6668
7/2/1999,123.93,85.5589
7/5/1999,125.18,85.6503
7/6/1999,124.87,85.6546
7/7/1999,124.77,85.8538
7/8/1999,124.72,85.6437
7/9/1999,124.66,85.5495
7/12/1999,123.82,85.4633
7/13/1999,123.83,85.2046
7/14/1999,122.97,85.978
7/15/1999,123.04,85.8387
7/16/1999,123.15,86.1246
7/19/1999,121.6,86.2931
7/20/1999,123.09,86.4163
7/21/1999,124.2,86.406
7/22/1999,124.06,86.4595
7/23/1999,121.96,86.6145
7/26/1999,123.8,86.6529
7/27/1999,124.27,86.1588
7/28/1999,123.15,86.1774
7/29/1999,123.18,86.6006
7/30/1999,123.19,86.2843
8/2/1999,121.88,86.3888
8/3/1999,122.69,86.7552
8/4/1999,123.39,86.9069
8/5/1999,123.37,87.2687
8/6/1999,123.13,86.5341
8/9/1999,123.37,86.5602
8/10/1999,123.25,86.0609
8/11/1999,122.92,86.0971
8/12/1999,123.25,86.7948
8/13/1999,122.41,86.5712
8/16/1999,121.28,86.6576
8/17/1999,120.34,86.6819
8/18/1999,118.9,86.9337
8/19/1999,117.02,87.3031
8/20/1999,119.16,86.9281
8/23/1999,118.03,87.258
8/24/1999,117.42,87.2118
8/25/1999,115.7,86.5795
8/26/1999,116.38,87.5125
8/27/1999,116.68,87.1466
8/30/1999,116.1,87.244
8/31/1999,115.53,86.5523
9/1/1999,116,86.8556
9/2/1999,116.16,86.0141
9/3/1999,117.32,86.4591
9/6/1999,116.3,87.0628
9/7/1999,117.44,86.618
9/8/1999,117.49,86.4815
9/9/1999,115.36,86.4099
9/10/1999,115,86.635
9/13/1999,109.85,87.3008
9/14/1999,110.25,87.7594
9/15/1999,107.94,87.7229
9/16/1999,108.08,86.8836
9/17/1999,110.66,86.8524
9/20/1999,112.08,86.9229
9/21/1999,108.72,86.1413
9/22/1999,109.48,86.3962
9/23/1999,108.45,86.9088
9/24/1999,109.4,87.1455
9/27/1999,109.67,86.7902
9/28/1999,111.31,86.932
9/29/1999,112.85,85.0509
9/30/1999,112.67,84.4051
10/1/1999,113.25,84.2634
10/4/1999,113.6,84.2704
10/5/1999,113.98,84.0869
10/6/1999,115.58,84.1201
10/7/1999,115.48,84.077
10/8/1999,114.55,84.1432
10/11/1999,113.42,83.5682
10/12/1999,113.45,83.0931
10/13/1999,116.24,83.096
10/14/1999,114.95,83.1039
10/15/1999,115.15,83.503
10/18/1999,114.23,83.4508
10/19/1999,114.3,83.4021
10/20/1999,114.44,83.3357
10/21/1999,114.52,83.3008
10/22/1999,113.65,83.4759
10/25/1999,112.66,83.5284
10/26/1999,111.33,83.9137
10/27/1999,109.75,83.5641
10/28/1999,109.79,83.4807
10/29/1999,109.59,83.5835
11/1/1999,110.23,83.2591
11/2/1999,110.12,83.3993
11/3/1999,109.17,83.4346
11/4/1999,110,83.3885
11/5/1999,109.79,83.511
11/8/1999,110.36,83.594
11/9/1999,109.37,83.4784
11/10/1999,109.33,83.8739
11/11/1999,109.3,84.7544
11/12/1999,108.22,84.8891
11/15/1999,107.99,84.3156
11/16/1999,109.42,83.9109
11/17/1999,109.58,83.5816
11/18/1999,109.63,83.1483
11/19/1999,109.1,83.3814
11/22/1999,108.35,83.5879
11/23/1999,107.98,83.4644
11/24/1999,106.62,82.8078
11/25/1999,106.25,82.7712
11/26/1999,104.86,82.535
11/29/1999,102.82,82.5718
11/30/1999,103,82.6869
12/1/1999,103.35,82.8351
12/2/1999,103.03,82.9134
12/3/1999,102.57,82.4901
12/6/1999,104.62,82.953
12/7/1999,105.05,82.897
12/8/1999,105.32,82.7517
12/9/1999,104.4,82.7189
12/10/1999,103.81,83.1164
12/13/1999,103.95,82.518
12/14/1999,104.06,81.9196
12/15/1999,103.7,82.061
12/16/1999,104.47,82.2843
12/17/1999,104.68,82.389
12/20/1999,103.84,82.4067
12/21/1999,103.07,82.9275
12/22/1999,102.48,82.969
12/23/1999,102.52,82.8842
12/24/1999,104.29,83.2602
12/27/1999,103.75,83.7787
12/28/1999,103.13,84.4309
12/29/1999,103.02,84.3976
12/30/1999,102.73,84.3642
1/3/2000,102.75,84.5717
1/4/2000,105.88,84.942
1/5/2000,107.34,84.853
1/6/2000,108.72,84.8579
1/7/2000,108.09,85.1092
1/10/2000,107.26,85.1843
1/11/2000,108.85,85.0157
1/12/2000,109.1,85.2333
1/13/2000,108.89,84.8717
1/14/2000,108.05,85.4614
1/17/2000,105.81,85.0117
1/18/2000,106.42,84.8412
1/19/2000,106.99,84.9983
1/20/2000,106.44,85.6998
1/21/2000,105.53,85.728
1/24/2000,105.54,86.0233
1/25/2000,105.69,86.1346
1/26/2000,106.04,85.9574
1/27/2000,105.43,85.7532
1/28/2000,103.74,86.0793
1/31/2000,104.62,86.3802
2/1/2000,104.62,86.5927
2/2/2000,105.51,86.539
2/3/2000,105.78,86.5568
2/4/2000,105.99,86.6777
2/7/2000,106.02,86.5445
2/8/2000,107.91,86.1858
2/9/2000,108.16,86.1429
2/10/2000,107.11,86.0313
2/11/2000,107.42,85.9528
2/14/2000,106.85,85.7349
2/15/2000,106.46,86.158
2/16/2000,106.97,85.9868
2/17/2000,109.3,86.3072
2/18/2000,109.27,86.1384
2/21/2000,109.73,86.5993
2/22/2000,111.11,86.4282
2/23/2000,111.88,86.161
2/24/2000,109.55,86.1018
2/25/2000,108.79,86.0263
2/28/2000,105.22,85.6569
2/29/2000,106.81,85.7577
3/1/2000,104.65,86.0446
3/2/2000,104.38,85.9957
3/3/2000,104.17,86.2194
3/6/2000,103.47,86.012
3/7/2000,103,86.2014
3/8/2000,102.24,86.039
3/9/2000,102.44,85.7058
3/10/2000,102.27,85.6964
3/13/2000,102.23,86.0417
3/14/2000,100.93,85.6901
3/15/2000,101.74,85.9757
3/16/2000,101.73,85.8661
3/17/2000,102.31,85.7928
3/20/2000,103.71,86.0702
3/21/2000,103.46,86.1133
3/22/2000,102.88,86.0979
3/23/2000,103.88,85.8306
3/24/2000,104.09,86.1881
3/27/2000,103.77,86.5178
3/28/2000,102.59,86.0662
3/29/2000,100.77,85.8631
3/30/2000,100.35,86.0891
3/31/2000,98.53,86.2353
4/3/2000,100.27,85.8829
4/4/2000,100.74,85.5209
4/5/2000,101.71,85.528
4/6/2000,101.04,85.8592
4/7/2000,100.71,86.3681
4/10/2000,101.92,86.9402
4/11/2000,102.61,86.9738
4/12/2000,101.11,86.8339
4/13/2000,101.09,87.2593
4/14/2000,100.86,87.1578
4/17/2000,99.4,87.0721
4/18/2000,98.97,86.8041
4/19/2000,98.79,86.6655
4/20/2000,98.37,86.7707
4/25/2000,98.15,86.5107
4/26/2000,97.85,86.647
4/27/2000,97.57,86.0568
4/28/2000,97.48,86.289
5/2/2000,99.15,85.4467
5/3/2000,97.46,86.2462
5/4/2000,97.35,86.8343
5/5/2000,97.21,86.5316
5/8/2000,97.17,86.6571
5/9/2000,98.25,85.3946
5/10/2000,99.13,84.9441
5/11/2000,98.53,84.9027
5/12/2000,98.01,84.6365
5/15/2000,100.07,84.9112
5/16/2000,98.89,85.0145
5/17/2000,97.98,84.3536
5/18/2000,97.6,83.6083
5/19/2000,95.69,83.9603
5/22/2000,96.57,84.0065
5/23/2000,97.3,83.4503
5/24/2000,97.58,83.4937
5/25/2000,96.81,83.6483
5/26/2000,98.22,83.6662
5/29/2000,99.32,84.1401
5/30/2000,99.8,84.3805
5/31/2000,99.9,85.1657
6/1/2000,101.41,85.5554
6/2/2000,101.62,84.0355
6/5/2000,101.51,84.2587
6/6/2000,101.24,84.2564
6/7/2000,101,83.915
6/8/2000,102.12,83.5082
6/9/2000,101.42,82.6567
6/12/2000,101.55,82.7329
6/13/2000,102.05,83.2552
6/14/2000,102.52,83.5135
6/15/2000,100.92,83.5364
6/16/2000,101.65,84.0059
6/19/2000,101.86,83.9836
6/20/2000,100.62,84.4175
6/21/2000,99.76,84.3217
6/22/2000,99.1,84.2144
6/23/2000,98.12,84.0875
6/26/2000,98.38,84.2274
6/27/2000,99.16,83.8755
6/28/2000,99.56,84.2493
6/29/2000,99.56,84.9263
6/30/2000,100.57,85.1944
7/3/2000,100.58,85.1808
7/4/2000,100.78,85.7943
7/5/2000,101.73,85.9983
7/6/2000,102.44,85.6317
7/7/2000,101.86,86.6363
7/10/2000,101.82,86.0657
7/11/2000,101.77,86.3457
7/12/2000,102.29,86.2639
7/13/2000,100.12,87.0888
7/14/2000,100.82,86.8266
7/17/2000,101.65,88.1637
7/18/2000,100.93,90.3006
7/19/2000,99.6,90.6353
7/20/2000,99.74,90.9232
7/21/2000,101.53,91.065
7/24/2000,101.64,91.065
7/25/2000,102.78,91.2883
7/26/2000,102.43,91.7903
7/27/2000,102.26,91.9362
7/28/2000,101.29,91.7568
7/31/2000,101.04,92.1919
8/1/2000,101.56,92.8622
8/2/2000,99.8,92.0206
8/3/2000,97.85,92.0385
8/4/2000,98.02,91.7419
8/7/2000,98.85,91.4073
8/8/2000,98.2,91.2164
8/9/2000,96.81,91.0235
8/10/2000,97.93,90.7917
8/11/2000,99.31,90.3451
8/14/2000,98.58,90.4206
8/15/2000,99.78,90.4872
8/16/2000,98.45,89.6817
8/17/2000,99.12,89.7836
8/18/2000,99.42,89.9414
8/21/2000,97.63,89.8641
8/22/2000,97.27,89.8324
8/23/2000,95.7,89.9853
8/24/2000,96.64,90.1099
8/25/2000,96.61,89.7721
8/28/2000,95.88,89.9365
8/29/2000,95.44,89.9206
8/30/2000,94.8,90.9642
8/31/2000,94.77,91.2351
9/1/2000,94.77,91.1701
9/4/2000,95.12,91.0219
9/5/2000,94.18,91.2114
9/6/2000,93.27,91.5207
9/7/2000,91.21,92.0471
9/8/2000,92.25,92.6113
9/11/2000,91.35,92.6119
9/12/2000,91.55,92.4754
9/13/2000,92.83,92.4406
9/14/2000,93.15,92.5971
9/15/2000,92.64,93.0289
9/18/2000,91.1,93.2533
9/19/2000,91.31,93.4869
9/20/2000,90.3,93.3476
9/21/2000,90.72,93.3841
9/22/2000,95.75,93.4329
9/25/2000,94.37,93.3938
9/26/2000,93.95,93.412
9/27/2000,95.49,93.7639
9/28/2000,94.98,94.1871
9/29/2000,94.94,94.2882
10/2/2000,95.49,94.2773
10/3/2000,95.14,94.4617
10/4/2000,95.31,94.556
10/5/2000,95.95,94.7615
10/6/2000,94.82,94.8245
10/9/2000,94.75,95.0525
10/10/2000,94.2,94.7816
10/11/2000,94.17,94.784
10/12/2000,93,94.3752
10/13/2000,93,94.4775
10/16/2000,92.09,94.2376
10/17/2000,91.73,94.2325
10/18/2000,92.27,94.6686
10/19/2000,90.93,94.8579
10/20/2000,92.06,95.1184
10/23/2000,91,95.049
10/24/2000,90.76,95.2217
10/25/2000,89.8,95.4813
10/26/2000,89.3,95.3515
10/27/2000,90.53,95.5688
10/30/2000,92.21,95.5403
10/31/2000,91.88,95.3716
11/1/2000,92.83,95.113
11/2/2000,93.63,95.127
11/3/2000,93.63,95.1459
11/6/2000,92.86,95.3249
11/7/2000,92.13,95.268
11/8/2000,92.22,94.8698
11/9/2000,91.55,94.8878
11/10/2000,93.42,94.7365
11/13/2000,92.82,94.6084
11/14/2000,92.6,94.6958
11/15/2000,93.22,94.9874
11/16/2000,93.29,94.9031
11/17/2000,92.95,95.1599
11/20/2000,92.7,95.2984
11/21/2000,93.28,95.0128
11/22/2000,92.46,94.9986
11/23/2000,92.9,94.9207
11/24/2000,93.78,94.9914
11/27/2000,93.44,94.8362
11/28/2000,94.54,94.9215
11/29/2000,95.01,94.7809
11/30/2000,96.44,94.9469
12/1/2000,97.75,95.1286
12/4/2000,98.6,94.8333
12/5/2000,97.52,94.8297
12/6/2000,97.76,94.9622
12/7/2000,98.9,94.6498
12/8/2000,98.75,94.5504
12/11/2000,97.53,94.6164
12/12/2000,97.89,94.5841
12/13/2000,98.4,94.5706
12/14/2000,99.55,94.7699
12/15/2000,100.93,95.0208
12/18/2000,100.54,95.3575
12/19/2000,99.96,95.3414
