Date,KRW,NEER
1/4/1999,1398.59,99.213
1/5/1999,1373.01,99.579
1/6/1999,1359.54,99.9449
1/7/1999,1337.16,99.9271
1/8/1999,1366.73,99.6583
1/11/1999,1356.7,99.9184
1/12/1999,1353.43,99.3516
1/13/1999,1377.93,99.7899
1/14/1999,1382.23,99.9362
1/15/1999,1375.76,99.9
1/18/1999,1371.26,99.908
1/19/1999,1364.47,100.6744
1/20/1999,1349.24,100.6947
1/21/1999,1356.82,102.6952
1/22/1999,1365.8,102.4051
1/25/1999,1366.16,102.4758
1/26/1999,1360.47,102.7992
1/27/1999,1354.55,103.3548
1/28/1999,1341.07,103.2256
1/29/1999,1337.33,103.5788
2/1/1999,1331.58,102.7238
2/2/1999,1326.43,102.5157
2/3/1999,1327.18,102.2942
2/4/1999,1318.51,101.9023
2/5/1999,1321.34,101.1687
2/8/1999,1322.19,101.1568
2/9/1999,1332.26,101.4577
2/10/1999,1335.81,101.6511
2/11/1999,1329.97,101.3084
2/12/1999,1322.2,101.4431
2/15/1999,1320.91,101.3978
2/16/1999,1313.13,101.5446
2/17/1999,1323.11,102.0592
2/18/1999,1327.45,102.6194
2/19/1999,1345.43,102.6141
2/22/1999,1337.48,103.225
2/23/1999,1326.17,103.4627
2/24/1999,1343.45,103.4284
2/25/1999,1350.69,103.1841
2/26/1999,1348.55,103.5412
3/1/1999,1340.17,103.4988
3/2/1999,1333.01,103.5074
3/3/1999,1339.26,103.7269
3/4/1999,1346.04,103.8463
3/5/1999,1345.31,104.136
3/8/1999,1349.46,103.938
3/9/1999,1342.52,104.3839
3/10/1999,1350.15,104.7885
3/11/1999,1339.97,104.6466
3/12/1999,1348.53,104.5045
3/15/1999,1347.46,104.7047
3/16/1999,1335.97,105.3106
3/17/1999,1345.41,105.5081
3/18/1999,1348.73,105.1732
3/19/1999,1326.42,105.4152
3/22/1999,1328.46,105.7305
3/23/1999,1334.85,106.0168
3/24/1999,1336.78,106.5104
3/25/1999,1332.39,106.3518
3/26/1999,1321.26,106.3438
3/29/1999,1309.82,106.2746
3/30/1999,1312.52,106.3075
3/31/1999,1317.86,105.783
4/1/1999,1321.62,105.8193
4/2/1999,1319.65,105.8396
4/5/1999,1318.8,105.486
4/6/1999,1312.91,104.926
4/7/1999,1321.59,104.2734
4/8/1999,1323.17,104.7769
4/9/1999,1317.96,105.222
4/12/1999,1329.35,104.9847
4/13/1999,1315.05,104.2878
4/14/1999,1311.08,104.2209
4/15/1999,1310.26,103.8984
4/16/1999,1297.96,102.5214
4/19/1999,1284.18,101.7044
4/20/1999,1284.18,100.9604
4/21/1999,1257.83,100.5642
4/22/1999,1262.67,99.95
4/23/1999,1265.27,100.8211
4/26/1999,1257.41,101.1742
4/27/1999,1254.58,100.3149
4/28/1999,1257.17,100.2158
4/29/1999,1246.97,100.4276
4/30/1999,1258.45,100.7785
5/3/1999,1260.36,100.1912
5/4/1999,1264.19,100.2385
5/5/1999,1276.93,100.6427
5/6/1999,1298.46,100.3647
5/7/1999,1296.9,100.4483
5/10/1999,1289.16,100.3414
5/11/1999,1286.89,99.853
5/12/1999,1283.2,100.5098
5/13/1999,1281.02,100.2551
5/14/1999,1289.01,100.2058
5/17/1999,1289.65,100.1765
5/18/1999,1283.34,101.2781
5/19/1999,1275.34,100.1296
5/20/1999,1275.34,100.3459
5/21/1999,1261.38,100.9996
5/24/1999,1258.88,101.2088
5/25/1999,1260.83,101.8851
5/26/1999,1254.72,101.6063
5/27/1999,1244.78,101.2527
5/28/1999,1242.42,100.7738
5/31/1999,1240.33,100.1265
6/1/1999,1238.67,100.2125
6/2/1999,1231.11,100.5196
6/3/1999,1229.95,100.1872
6/4/1999,1221.16,100.1656
6/7/1999,1221.31,100.2113
6/8/1999,1223.47,100.0592
6/9/1999,1220.22,99.8863
6/10/1999,1222.5,99.4708
6/11/1999,1222.62,98.9276
6/14/1999,1221.01,99.0244
6/15/1999,1211.31,99.4845
6/16/1999,1204.21,98.6563
6/17/1999,1206.26,97.8602
