Date,LTL
1/4/1999,4.717
1/5/1999,4.7174
1/6/1999,4.6994
1/7/1999,4.6548
1/8/1999,4.6643
1/11/1999,4.6296
1/12/1999,4.6088
1/13/1999,4.6986
1/14/1999,4.6636
1/15/1999,4.6516
1/18/1999,4.6457
1/19/1999,4.646
1/20/1999,4.6285
1/21/1999,4.6298
1/22/1999,4.6326
1/25/1999,4.6345
1/26/1999,4.6305
1/27/1999,4.6137
1/28/1999,4.5658
1/29/1999,4.5543
2/1/1999,4.5355
2/2/1999,4.5359
2/3/1999,4.5373
2/4/1999,4.5079
2/5/1999,4.5189
2/8/1999,4.4977
2/9/1999,4.5329
2/10/1999,4.5367
2/11/1999,4.5277
2/12/1999,4.5011
2/15/1999,4.496
2/16/1999,4.4716
2/17/1999,4.5058
2/18/1999,4.4942
2/19/1999,4.4682
2/22/1999,4.3997
2/23/1999,4.3804
2/24/1999,4.4158
2/25/1999,4.416
2/26/1999,4.4108
3/1/1999,4.3975
3/2/1999,4.3568
3/3/1999,4.3598
3/4/1999,4.3455
3/5/1999,4.3347
3/8/1999,4.3572
3/9/1999,4.3476
3/10/1999,4.3809
3/11/1999,4.3582
3/12/1999,4.3737
3/15/1999,4.3791
3/16/1999,4.3562
3/17/1999,4.3864
3/18/1999,4.4035
3/19/1999,4.3663
3/22/1999,4.3456
3/23/1999,4.3578
3/24/1999,4.3725
3/25/1999,4.3586
3/26/1999,4.3246
3/29/1999,4.2784
3/30/1999,4.289
3/31/1999,4.2983
4/1/1999,4.3202
4/2/1999,4.3102
4/5/1999,4.3018
4/6/1999,4.2888
4/7/1999,4.3237
4/8/1999,4.3279
4/9/1999,4.3098
4/12/1999,4.3495
4/13/1999,4.305
4/14/1999,4.3143
4/15/1999,4.3132
4/16/1999,4.2696
4/19/1999,4.2546
4/20/1999,4.2546
4/21/1999,4.2351
4/22/1999,4.2347
4/23/1999,4.2541
4/26/1999,4.2461
4/27/1999,4.2534
4/28/1999,4.2669
4/29/1999,4.2425
4/30/1999,4.2383
5/3/1999,4.2367
5/4/1999,4.2271
5/5/1999,4.2678
5/6/1999,4.3209
5/7/1999,4.3157
5/10/1999,4.2954
5/11/1999,4.2966
5/12/1999,4.2594
5/13/1999,4.2504
5/14/1999,4.2716
5/17/1999,4.2764
5/18/1999,4.2777
5/19/1999,4.2536
5/20/1999,4.2578
5/21/1999,4.23
5/24/1999,4.236
5/25/1999,4.2524
5/26/1999,4.2156
5/27/1999,4.1912
5/28/1999,4.1927
5/31/1999,4.184
6/1/1999,4.175
6/2/1999,4.1534
6/3/1999,4.1542
6/4/1999,4.128
6/7/1999,4.1293
6/8/1999,4.1559
6/9/1999,4.1875
6/10/1999,4.1912
6/11/1999,4.1877
6/14/1999,4.1736
6/15/1999,4.1564
6/16/1999,4.1354
6/17/1999,4.1349
6/18/1999,4.1522
6/21/1999,4.1374
6/22/1999,4.1252
6/23/1999,4.12
6/24/1999,4.1319
6/25/1999,4.1781
6/28/1999,4.1554
6/29/1999,4.1457
6/30/1999,4.1325
7/1/1999,4.1057
7/2/1999,4.0985
7/5/1999,4.0934
7/6/1999,4.0898
7/7/1999,4.088
7/8/1999,4.0709
7/9/1999,4.0807
7/12/1999,4.051
7/13/1999,4.0738
7/14/1999,4.0738
7/15/1999,4.081
7/16/1999,4.0834
7/19/1999,4.0595
7/20/1999,4.1645
7/21/1999,4.1867
7/22/1999,4.2006
7/23/1999,4.1999
7/26/1999,4.2836
7/27/1999,4.2523
7/28/1999,4.2442
7/29/1999,4.2726
7/30/1999,4.2793
8/2/1999,4.2657
8/3/1999,4.2604
8/4/1999,4.3053
8/5/1999,4.3174
8/6/1999,4.2982
8/9/1999,4.2834
8/10/1999,4.2988
8/11/1999,4.2682
8/12/1999,4.2565
8/13/1999,4.2696
8/16/1999,4.2212
8/17/1999,4.2104
8/18/1999,4.2077
8/19/1999,4.2081
8/20/1999,4.2081
8/23/1999,4.2438
8/24/1999,4.2076
8/25/1999,4.1746
8/26/1999,4.1801
8/27/1999,4.182
8/30/1999,4.1828
8/31/1999,4.2286
9/1/1999,4.2462
9/2/1999,4.265
9/3/1999,4.2726
9/6/1999,4.2377
9/7/1999,4.2279
9/8/1999,4.2469
9/9/1999,4.2364
9/10/1999,4.2082
9/13/1999,4.1374
9/14/1999,4.1446
9/15/1999,4.1505
9/16/1999,4.1502
9/17/1999,4.1584
9/20/1999,4.1626
9/21/1999,4.1557
9/22/1999,4.2028
9/23/1999,4.1724
9/24/1999,4.1874
9/27/1999,4.1654
9/28/1999,4.1935
9/29/1999,4.2238
9/30/1999,4.2652
10/1/1999,4.2898
10/4/1999,4.2898
10/5/1999,4.2759
10/6/1999,4.2949
10/7/1999,4.2905
10/8/1999,4.2631
