Date,MXN,NEER
1/2/2008,16.0143,106.1258
1/3/2008,16.1123,105.8801
1/4/2008,16.0171,105.4519
1/7/2008,16.0863,104.3884
1/8/2008,15.9902,105.4842
1/9/2008,16.0416,105.3042
1/10/2008,16.0556,104.7831
1/11/2008,16.1934,105.1044
1/14/2008,16.2854,105.8803
1/15/2008,16.2421,105.9945
1/16/2008,16.2039,107.6245
1/17/2008,16.0808,107.5034
1/18/2008,16.0269,107.7234
1/21/2008,15.8868,107.2966
1/22/2008,15.9188,107.5294
1/23/2008,15.9651,107.8903
1/24/2008,15.9973,107.8737
1/25/2008,16.0035,107.7227
1/28/2008,16.0763,108.2404
1/29/2008,16.0413,107.7344
1/30/2008,16.0577,107.5394
1/31/2008,16.1087,106.7689
2/1/2008,16.0831,107.4728
2/4/2008,16.0033,108.0109
2/5/2008,15.8669,107.8786
2/6/2008,15.8383,107.6601
2/7/2008,15.7842,107.9952
2/8/2008,15.6472,107.501
2/11/2008,15.6428,108.3351
2/12/2008,15.6305,107.4062
2/13/2008,15.6953,106.9005
2/14/2008,15.701,105.7232
2/15/2008,15.79,104.4972
2/18/2008,15.7249,104.2307
2/19/2008,15.8287,102.7044
2/20/2008,15.8063,103.3947
2/21/2008,15.8729,102.836
2/22/2008,16.0195,103.9278
2/25/2008,15.9483,105.0613
2/26/2008,16.0096,106.0874
2/27/2008,16.1525,105.2918
2/28/2008,16.1686,104.4119
2/29/2008,16.2363,104.5591
3/3/2008,16.2915,104.7293
3/4/2008,16.2583,105.5863
3/5/2008,16.2688,105.2422
3/6/2008,16.4137,106.1774
3/7/2008,16.7159,107.2717
3/10/2008,16.6094,107.4564
3/11/2008,16.5986,107.2132
3/12/2008,16.6966,106.7681
3/13/2008,16.8037,105.8205
3/14/2008,16.7001,104.8312
3/17/2008,17.0198,106.48
3/18/2008,16.9262,107.192
3/19/2008,16.7379,106.9941
3/20/2008,16.5373,107.7907
3/25/2008,16.6464,107.6383
3/26/2008,16.7846,107.8515
3/27/2008,16.876,107.5697
3/28/2008,16.905,107.4662
3/31/2008,16.8983,105.2332
4/1/2008,16.6513,105.0931
4/2/2008,16.4996,107.7157
4/3/2008,16.411,107.3816
4/4/2008,16.5757,108.1721
4/7/2008,16.5404,107.8712
4/8/2008,16.5627,107.4533
4/9/2008,16.6035,106.938
4/10/2008,16.7877,105.7408
4/11/2008,16.6983,106.8882
4/14/2008,16.7212,106.8386
4/15/2008,16.5545,106.6017
4/16/2008,16.6417,106.1238
4/17/2008,16.6267,106.1273
4/18/2008,16.4814,105.9989
4/21/2008,16.657,105.9276
4/22/2008,16.7691,105.2984
4/23/2008,16.6938,105.523
4/24/2008,16.5204,105.071
4/25/2008,16.3134,106.22
4/28/2008,16.3227,107.0609
4/29/2008,16.3464,106.2385
4/30/2008,16.3597,106.9818
5/2/2008,16.2085,107.0899
5/5/2008,16.1858,107.6663
5/6/2008,16.271,106.7949
5/7/2008,16.2354,108.1148
5/8/2008,16.2034,106.9887
5/9/2008,16.3399,107.184
5/12/2008,16.2763,107.8309
5/13/2008,16.2191,107.2002
5/14/2008,16.2171,106.9695
5/15/2008,16.2121,106.5448
5/16/2008,16.1773,106.1961
5/19/2008,16.1923,106.8442
5/20/2008,16.2427,106.4252
5/21/2008,16.3422,106.5651
5/22/2008,16.3694,107.0731
5/23/2008,16.3347,106.739
5/26/2008,16.3631,106.7286
