Date,MYR,NEER
4/1/2005,4.9243,91.436
4/4/2005,4.8954,91.6361
4/5/2005,4.8677,91.4156
4/6/2005,4.8867,91.9633
4/7/2005,4.9106,92.4811
4/8/2005,4.8711,92.141
4/11/2005,4.9289,92.0692
4/12/2005,4.9342,92.3695
4/13/2005,4.9103,91.7156
4/14/2005,4.8715,91.2984
4/15/2005,4.8897,91.9718
4/18/2005,4.9274,91.9855
4/19/2005,4.9384,92.0345
4/20/2005,4.9585,91.7723
4/21/2005,4.9619,92.5847
4/22/2005,4.9692,93.7333
4/25/2005,4.927,93.9669
4/26/2005,4.9327,94.4085
4/27/2005,4.9095,94.4012
4/28/2005,4.9038,94.3886
4/29/2005,4.9236,94.7961
5/2/2005,4.8878,94.8407
5/3/2005,4.8852,94.759
5/4/2005,4.922,95.1269
5/5/2005,4.9239,95.4501
5/6/2005,4.9198,93.8929
5/9/2005,4.873,94.4899
5/10/2005,4.8844,95.1535
5/11/2005,4.8951,95.1096
5/12/2005,4.8529,94.6663
5/13/2005,4.8012,94.6658
5/16/2005,4.794,94.3778
5/17/2005,4.8016,93.851
5/18/2005,4.7959,94.1152
5/19/2005,4.8039,94.3044
5/20/2005,4.7906,94.9743
5/23/2005,4.7681,95.1777
5/24/2005,4.7944,95.4182
5/25/2005,4.7742,94.2748
5/26/2005,4.7586,93.5211
5/27/2005,4.7693,92.6329
5/30/2005,4.7393,93.2461
5/31/2005,4.6858,92.8058
6/1/2005,4.6466,91.4321
6/2/2005,4.6599,91.3637
6/3/2005,4.6698,91.2604
6/6/2005,4.6634,90.0322
6/7/2005,4.6683,90.4262
6/8/2005,4.6831,90.8805
6/9/2005,4.6518,91.6022
6/10/2005,4.648,91.978
6/13/2005,4.5846,91.2922
6/14/2005,4.6028,91.3351
6/15/2005,4.5872,92.1204
6/16/2005,4.6047,91.4841
6/17/2005,4.6283,91.5642
6/20/2005,4.6408,91.0183
6/21/2005,4.596,91.1883
6/22/2005,4.6032,90.0459
6/23/2005,4.5861,89.7982
6/24/2005,4.5922,89.6209
6/27/2005,4.6233,89.1538
6/28/2005,4.5971,89.6234
6/29/2005,4.5815,90.2548
6/30/2005,4.596,89.5355
7/1/2005,4.5941,90.5845
7/4/2005,4.5207,89.7484
7/5/2005,4.5165,90.2375
7/6/2005,4.5279,90.4659
7/7/2005,4.5437,90.6672
7/8/2005,4.5235,91.4956
7/11/2005,4.5623,90.6891
7/12/2005,4.6231,90.753
7/13/2005,4.6299,91.0302
7/14/2005,4.587,92.0126
