Date,NOK,NEER
1/4/1999,8.855,101.9252
1/5/1999,8.7745,101.968
1/6/1999,8.7335,102.0704
1/7/1999,8.6295,101.9662
1/8/1999,8.59,101.4094
1/11/1999,8.5585,101.292
1/12/1999,8.61,101.6315
1/13/1999,8.747,101.7262
1/14/1999,8.7245,101.9397
1/15/1999,8.715,101.8649
1/18/1999,8.6575,102.1211
1/19/1999,8.63,102.1643
1/20/1999,8.6,102.1199
1/21/1999,8.605,102.2696
1/22/1999,8.6225,102.1953
1/25/1999,8.6125,102.1213
1/26/1999,8.6125,102.1089
1/27/1999,8.5985,102.1174
1/28/1999,8.57,101.9311
1/29/1999,8.5785,102.0817
2/1/1999,8.5395,102.312
2/2/1999,8.5845,102.3945
2/3/1999,8.625,102.5035
2/4/1999,8.6425,102.5554
2/5/1999,8.6725,102.8551
2/8/1999,8.62,102.8871
2/9/1999,8.6505,103.3365
2/10/1999,8.6425,103.2176
2/11/1999,8.6435,103.2404
2/12/1999,8.6075,102.9684
2/15/1999,8.593,103.6507
2/16/1999,8.6205,103.5221
2/17/1999,8.6955,103.4116
2/18/1999,8.7385,102.6914
2/19/1999,8.7075,102.739
2/22/1999,8.6885,102.9186
2/23/1999,8.6745,102.7697
2/24/1999,8.654,102.7077
2/25/1999,8.6965,102.6109
2/26/1999,8.6965,102.2364
3/1/1999,8.6475,102.2706
3/2/1999,8.652,102.1707
3/3/1999,8.6475,101.8844
3/4/1999,8.6155,101.8462
3/5/1999,8.58,101.7474
3/8/1999,8.5785,102.0832
3/9/1999,8.5605,102.4334
3/10/1999,8.5435,102.3385
3/11/1999,8.501,102.4873
3/12/1999,8.5285,102.4141
3/15/1999,8.5275,102.5185
3/16/1999,8.5515,102.3714
3/17/1999,8.54,102.4164
3/18/1999,8.479,102.5336
3/19/1999,8.4515,102.8032
3/22/1999,8.4445,103.1885
3/23/1999,8.4435,102.9996
3/24/1999,8.448,103.1024
3/25/1999,8.4635,102.946
3/26/1999,8.376,103.0456
3/29/1999,8.3635,103.0611
3/30/1999,8.3585,103.2028
3/31/1999,8.3475,103.1358
4/1/1999,8.3425,103.1082
4/2/1999,8.346,103.3545
4/5/1999,8.3505,103.1474
4/6/1999,8.3345,102.9312
4/7/1999,8.3685,102.8248
4/8/1999,8.4105,102.6507
4/9/1999,8.412,102.6967
4/12/1999,8.4048,102.3058
4/13/1999,8.3645,102.0713
4/14/1999,8.341,102.5349
4/15/1999,8.345,102.6826
4/16/1999,8.2875,102.8105
4/19/1999,8.2685,101.7189
4/20/1999,8.2755,101.7096
4/21/1999,8.256,101.9657
4/22/1999,8.2645,101.4131
4/23/1999,8.2765,101.3495
4/26/1999,8.2668,101.0181
4/27/1999,8.2765,101.0304
4/28/1999,8.296,101.1625
4/29/1999,8.2695,101.6966
4/30/1999,8.2515,102.0422
5/3/1999,8.2445,101.7031
5/4/1999,8.2385,101.6401
5/5/1999,8.2565,102.1848
5/6/1999,8.2685,102.1347
5/7/1999,8.2585,102.3568
5/10/1999,8.211,102.4119
5/11/1999,8.2215,102.0538
5/12/1999,8.1982,102.1571
5/13/1999,8.219,102.2892
5/14/1999,8.1825,102.0512
5/17/1999,8.2007,101.9999
5/18/1999,8.2115,101.9215
5/19/1999,8.2643,101.7027
5/20/1999,8.26,101.6049
5/21/1999,8.2255,101.2105
5/24/1999,8.2435,100.3552
5/25/1999,8.2565,100.7046
5/26/1999,8.238,100.6465
5/27/1999,8.2505,101.0413
5/28/1999,8.2445,101.2064
5/31/1999,8.2375,100.8589
6/1/1999,8.2355,100.7742
6/2/1999,8.2415,101.1685
6/3/1999,8.241,101.7717
6/4/1999,8.2275,101.5756
6/7/1999,8.195,101.2925
6/8/1999,8.1925,101.1867
6/9/1999,8.212,101.2742
6/10/1999,8.2,100.6073
6/11/1999,8.1965,100.7441
6/14/1999,8.1805,100.9462
6/15/1999,8.189,101.3276
6/16/1999,8.1685,101.1042
6/17/1999,8.151,101.006
6/18/1999,8.137,101.1991
6/21/1999,8.104,101.224
6/22/1999,8.0895,100.9882
6/23/1999,8.106,101.5796
6/24/1999,8.11,101.5258
6/25/1999,8.153,100.9941
6/28/1999,8.1315,101.6143
6/29/1999,8.121,101.7076
6/30/1999,8.1045,101.5805
7/1/1999,8.0855,101.4581
7/2/1999,8.081,101.3355
7/5/1999,8.07,100.5347
7/6/1999,8.0645,100.6872
7/7/1999,8.0865,100.9906
7/8/1999,8.095,101.0435
7/9/1999,8.1145,100.9009
7/12/1999,8.1075,100.6629
7/13/1999,8.1155,100.6175
7/14/1999,8.142,100.973
7/15/1999,8.1685,100.8319
7/16/1999,8.127,101.1364
7/19/1999,8.0985,101.0065
7/20/1999,8.15,100.8909
7/21/1999,8.263,100.8641
7/22/1999,8.271,100.7416
7/23/1999,8.239,100.6327
7/26/1999,8.341,100.5432
7/27/1999,8.3275,100.5024
7/28/1999,8.3475,100.68
7/29/1999,8.3537,100.7191
7/30/1999,8.3345,100.8274
8/2/1999,8.278,101.1285
8/3/1999,8.25,101.3205
8/4/1999,8.303,100.8647
8/5/1999,8.3095,101.1037
8/6/1999,8.3125,100.9598
8/9/1999,8.2635,100.9696
8/10/1999,8.2745,101.1377
8/11/1999,8.2385,100.8979
8/12/1999,8.2265,101.002
8/13/1999,8.2595,100.9759
8/16/1999,8.2205,100.6815
8/17/1999,8.199,101.0462
8/18/1999,8.2075,100.8309
8/19/1999,8.2045,100.7357
8/20/1999,8.247,100.6257
8/23/1999,8.2515,100.5893
8/24/1999,8.2375,100.7256
8/25/1999,8.2435,100.9288
8/26/1999,8.3245,101.2676
8/27/1999,8.2945,101.1512
8/30/1999,8.2995,101.0128
