Date,PHP,NEER
4/1/2005,70.944,102.6309
4/4/2005,70.631,102.1505
4/5/2005,70.231,102.3811
4/6/2005,70.376,102.0656
4/7/2005,70.398,102.5745
4/8/2005,69.985,102.4236
4/11/2005,70.4,102.5019
4/12/2005,70.346,102.6378
4/13/2005,69.876,103.0948
4/14/2005,69.773,103.117
4/15/2005,70.291,102.9287
4/18/2005,70.897,103.027
4/19/2005,70.731,103.1456
4/20/2005,70.954,103.152
4/21/2005,71.238,102.8687
4/22/2005,70.845,102.7404
4/25/2005,70.114,103.0685
4/26/2005,70.519,103.3958
4/27/2005,70.253,104.0795
4/28/2005,70.197,103.7037
4/29/2005,70.13,103.1715
5/2/2005,69.557,103.2567
5/3/2005,69.712,104.0164
5/4/2005,70.043,104.0699
5/5/2005,69.88,104.3658
5/6/2005,69.946,104.2725
5/9/2005,69.346,104.0669
5/10/2005,69.637,104.3026
5/11/2005,69.8,104.6602
5/12/2005,69.187,104.0769
5/13/2005,68.513,104.2755
5/16/2005,68.776,104.1212
5/17/2005,68.658,103.5674
5/18/2005,68.879,103.5374
5/19/2005,69.057,103.5795
5/20/2005,68.803,103.7627
5/23/2005,68.65,103.7967
5/24/2005,68.794,103.8059
5/25/2005,68.392,103.7007
5/26/2005,68.282,104.1365
5/27/2005,68.246,103.5037
5/30/2005,67.866,103.4236
5/31/2005,67.229,103.1204
6/1/2005,66.71,103.5442
6/2/2005,66.901,103.4635
6/3/2005,67.006,103.8085
6/6/2005,66.91,103.886
6/7/2005,66.953,103.6513
6/8/2005,67.418,103.8945
6/9/2005,67.315,103.9436
6/10/2005,67.412,103.7825
6/13/2005,66.552,103.6087
6/14/2005,66.938,103.4692
6/15/2005,66.699,103.2366
6/16/2005,67.026,103.484
6/17/2005,67.552,103.184
6/20/2005,68.04,103.3683
6/21/2005,67.298,102.8804
6/22/2005,67.355,102.5587
6/23/2005,67.28,102.5264
6/24/2005,67.242,103.1623
6/27/2005,67.601,102.8677
6/28/2005,67.339,102.6961
6/29/2005,67.472,103.1819
6/30/2005,67.685,102.6822
7/1/2005,67.482,102.813
7/4/2005,66.815,101.8788
7/5/2005,66.872,101.815
7/6/2005,66.915,101.5423
7/7/2005,67.127,101.0022
7/8/2005,66.752,101.5923
7/11/2005,67.51,101.4626
7/12/2005,68.19,101.3872
7/13/2005,68.413,100.6461
7/14/2005,67.467,100.0973
7/15/2005,67.428,100.2543
7/18/2005,66.99,99.3456
7/19/2005,66.777,99.044
7/20/2005,67.312,98.8563
7/21/2005,67.955,99.617
7/22/2005,67.788,98.9109
7/25/2005,67.262,99.0532
7/26/2005,67.175,98.6205
7/27/2005,67.294,98.4427
7/28/2005,67.899,98.0212
7/29/2005,67.848,97.6085
8/1/2005,68.579,97.6407
8/2/2005,68.409,98.4958
8/3/2005,69.017,97.4371
8/4/2005,68.9,97.2671
8/5/2005,69.207,97.0947
8/8/2005,69.179,97.2132
8/9/2005,69.101,97.2465
8/10/2005,69.095,97.1624
8/11/2005,69.096,96.7906
8/12/2005,69.292,96.722
8/15/2005,69.016,96.3903
8/16/2005,68.713,96.6249
8/17/2005,68.704,97.0643
8/18/2005,68.301,96.0955
8/19/2005,68.255,95.5744
8/22/2005,68.341,96.0961
8/23/2005,68.413,95.9686
8/24/2005,68.412,95.6741
8/25/2005,68.785,94.6304
8/26/2005,68.833,95.5885
8/29/2005,68.972,95.2963
8/30/2005,68.427,94.7209
8/31/2005,68.608,93.5329
9/1/2005,69.503,93.5822
9/2/2005,70.361,94.0534
9/5/2005,70.47,93.6532
9/6/2005,70.248,93.9093
9/7/2005,69.881,93.3446
9/8/2005,69.634,93.2615
9/9/2005,69.617,93.2772
9/12/2005,68.953,95.0676
9/13/2005,68.654,95.2822
9/14/2005,68.804,94.6066
9/15/2005,68.357,94.3539
9/16/2005,68.775,94.5962
9/19/2005,68.337,94.8298
9/20/2005,68.336,94.3654
9/21/2005,68.796,93.7771
9/22/2005,68.668,94.0389
9/23/2005,68.109,94.1578
9/26/2005,67.692,94.2587
9/27/2005,67.576,94.5696
9/28/2005,67.497,94.7395
9/29/2005,67.462,94.7611
9/30/2005,67.465,94.6125
10/3/2005,66.78,94.6464
10/4/2005,66.859,94.9097
10/5/2005,66.575,95.0027
10/6/2005,67.331,94.7192
10/7/2005,67.672,94.6867
10/10/2005,67.24,95.1248
10/11/2005,67.083,95.1887
10/12/2005,67.035,94.6623
10/13/2005,66.932,94.6936
10/14/2005,66.954,94.7643
10/17/2005,67.107,95.0027
10/18/2005,66.567,94.8947
10/19/2005,66.603,94.4164
10/20/2005,66.59,94.5163
10/21/2005,66.583,94.3079
10/24/2005,66.229,93.6841
10/25/2005,66.406,93.7507
10/26/2005,66.3,93.4282
10/27/2005,66.812,93.2955
