Date,PLN,NEER
1/4/1999,4.0712,96.8217
1/5/1999,4.0245,96.598
1/6/1999,4.0065,97.3672
1/7/1999,4.0165,97.7185
1/8/1999,4.0363,97.9565
1/11/1999,4.032,97.9165
1/12/1999,4.033,97.6944
1/13/1999,4.2033,97.6023
1/14/1999,4.1335,97.8321
1/15/1999,4.2,97.9039
1/18/1999,4.0667,97.7116
1/19/1999,4.0973,97.9824
1/20/1999,4.0847,97.9654
1/21/1999,4.1277,98.2218
1/22/1999,4.1587,97.9665
1/25/1999,4.1607,98.1079
1/26/1999,4.1837,98.549
1/27/1999,4.1588,98.4292
1/28/1999,4.1381,98.3267
1/29/1999,4.161,98.8464
2/1/1999,4.236,99.719
2/2/1999,4.2296,99.9871
2/3/1999,4.2014,100.1181
2/4/1999,4.1512,100.1413
2/5/1999,4.1753,99.8565
2/8/1999,4.1958,99.6962
2/9/1999,4.256,99.945
2/10/1999,4.2448,100.1022
2/11/1999,4.252,100.2608
2/12/1999,4.2302,99.6185
2/15/1999,4.2612,99.8495
2/16/1999,4.2747,99.946
2/17/1999,4.279,100.0268
2/18/1999,4.284,100.448
2/19/1999,4.2589,100.1567
2/22/1999,4.2608,100.3736
2/23/1999,4.2408,100.4904
2/24/1999,4.2813,99.915
2/25/1999,4.3051,100.0649
2/26/1999,4.3482,100.1289
3/1/1999,4.3074,99.8776
3/2/1999,4.321,100.1798
3/3/1999,4.337,100.3384
3/4/1999,4.3093,100.3337
3/5/1999,4.249,100.4431
3/8/1999,4.2568,100.5741
3/9/1999,4.2702,100.5643
3/10/1999,4.3142,100.4831
3/11/1999,4.305,101.1551
3/12/1999,4.2995,100.9908
3/15/1999,4.3103,101.0777
3/16/1999,4.3107,101.5727
3/17/1999,4.307,102.1919
3/18/1999,4.31,102.3902
3/19/1999,4.2627,102.1004
3/22/1999,4.2805,102.8743
3/23/1999,4.2888,102.8034
3/24/1999,4.3521,102.6086
3/25/1999,4.3165,101.7734
3/26/1999,4.2763,101.7086
3/29/1999,4.2757,101.9838
3/30/1999,4.258,102.2804
3/31/1999,4.2947,102.9391
4/1/1999,4.338,103.1325
4/2/1999,4.35,103.3765
4/5/1999,4.3293,103.7747
4/6/1999,4.3143,104.2953
4/7/1999,4.3055,104.0263
4/8/1999,4.2928,104.2488
4/9/1999,4.2918,103.5751
4/12/1999,4.3078,103.7985
4/13/1999,4.3023,104.0838
4/14/1999,4.2905,104.3165
4/15/1999,4.2861,104.6447
4/16/1999,4.2838,103.8903
