Date,RUB,NEER
4/1/2005,36.115,79.0137
4/4/2005,35.938,79.3111
4/5/2005,35.79,79.489
4/6/2005,35.845,79.4531
4/7/2005,35.963,79.293
4/8/2005,35.725,79.6068
4/11/2005,36.03,79.2443
4/12/2005,36.063,79.1901
4/13/2005,35.915,79.2978
4/14/2005,35.695,79.6514
4/15/2005,35.865,79.4951
4/18/2005,36.06,79.3358
4/19/2005,36.1,79.2724
4/20/2005,36.186,79.0818
4/21/2005,36.194,79.1424
4/22/2005,36.25,78.9674
4/25/2005,36.005,79.1701
4/26/2005,36.035,79.1345
4/27/2005,35.925,79.2842
4/28/2005,35.88,79.3622
4/29/2005,35.989,79.1913
5/2/2005,35.758,79.4637
5/3/2005,35.785,79.3711
5/4/2005,35.995,79.0136
5/5/2005,35.99,78.964
5/6/2005,35.988,78.978
5/9/2005,35.646,79.4819
5/10/2005,35.735,79.4063
5/11/2005,35.832,79.2636
5/12/2005,35.593,79.5136
5/13/2005,35.29,79.9117
5/16/2005,35.337,79.9453
5/17/2005,35.375,79.8733
5/18/2005,35.353,79.8705
5/19/2005,35.34,79.886
5/20/2005,35.295,79.941
5/23/2005,35.215,79.8787
5/24/2005,35.336,80.0132
5/25/2005,35.23,80.0472
5/26/2005,35.18,79.9358
5/27/2005,35.235,80.1434
5/30/2005,35.061,80.1768
5/31/2005,34.837,80.1021
6/1/2005,34.728,79.9488
6/2/2005,34.772,79.7575
6/3/2005,34.85,79.6747
6/6/2005,34.882,79.7013
6/7/2005,34.893,79.8169
6/8/2005,34.95,79.7932
6/9/2005,34.819,80.5675
6/10/2005,34.805,80.1136
6/13/2005,34.339,80.1434
6/14/2005,34.595,79.9974
6/15/2005,34.521,79.8625
6/16/2005,34.62,79.8579
6/17/2005,34.74,79.9803
6/20/2005,34.793,79.8345
6/21/2005,34.603,79.892
6/22/2005,34.657,79.9319
6/23/2005,34.561,80.0215
6/24/2005,34.598,80.1174
6/27/2005,34.745,80.0758
6/28/2005,34.618,80.135
6/29/2005,34.566,80.5496
6/30/2005,34.637,80.4662
7/1/2005,34.63,80.4753
7/4/2005,34.279,80.6468
7/5/2005,34.281,80.4833
7/6/2005,34.351,80.1509
7/7/2005,34.438,80.1192
7/8/2005,34.315,80.2849
7/11/2005,34.478,80.3468
7/12/2005,34.785,80.3439
7/13/2005,34.825,80.5451
7/14/2005,34.61,80.4513
7/15/2005,34.605,79.9078
7/18/2005,34.577,79.9554
7/19/2005,34.415,80.1298
7/20/2005,34.599,80.3397
7/21/2005,34.825,80.3042
7/22/2005,34.74,80.0395
7/25/2005,34.592,80.0324
7/26/2005,34.443,79.6672
7/27/2005,34.451,79.6224
7/28/2005,34.683,79.4882
7/29/2005,34.656,79.5408
8/1/2005,34.94,79.5034
8/2/2005,34.921,79.5515
8/3/2005,35.075,79.5695
8/4/2005,35.069,79.4194
8/5/2005,35.173,79.3921
8/8/2005,35.13,79.3369
8/9/2005,35.131,79.4438
8/10/2005,35.158,79.5376
8/11/2005,35.19,79.6326
8/12/2005,35.283,79.7817
8/15/2005,35.135,79.5704
8/16/2005,35.035,79.6727
8/17/2005,35,79.7826
8/18/2005,34.875,79.6712
8/19/2005,34.805,79.6131
8/22/2005,34.925,79.7074
8/23/2005,34.915,79.9264
8/24/2005,34.86,79.8738
8/25/2005,34.971,79.4377
8/26/2005,35.028,79.1818
8/29/2005,34.998,79.4534
8/30/2005,34.808,79.542
8/31/2005,34.848,79.6096
9/1/2005,35.209,79.556
9/2/2005,35.448,79.6386
9/5/2005,35.304,79.8136
9/6/2005,35.225,79.8813
9/7/2005,35.164,80.0222
9/8/2005,35.102,80.0555
9/9/2005,35.104,80.1984
9/12/2005,34.931,80.1158
9/13/2005,34.849,80.1633
9/14/2005,34.833,80.3549
9/15/2005,34.673,80.476
9/16/2005,34.698,80.5934
9/19/2005,34.505,80.5835
9/20/2005,34.538,80.5216
9/21/2005,34.664,80.6062
9/22/2005,34.656,80.715
9/23/2005,34.466,80.7516
9/26/2005,34.345,80.7069
9/27/2005,34.285,80.5487
9/28/2005,34.338,80.3687
9/29/2005,34.38,80.6251
9/30/2005,34.334,80.647
10/3/2005,34.185,80.8223
10/4/2005,34.171,80.7539
10/5/2005,34.183,80.7171
10/6/2005,34.43,80.9269
10/7/2005,34.595,80.9315
10/10/2005,34.43,80.8494
10/11/2005,34.337,80.8389
10/12/2005,34.336,81.0079
10/13/2005,34.28,80.8972
10/14/2005,34.338,80.8136
10/17/2005,34.364,80.7685
10/18/2005,34.205,80.718
10/19/2005,34.22,80.8481
10/20/2005,34.247,80.8185
10/21/2005,34.318,80.7987
10/24/2005,34.1805,81.3167
10/25/2005,34.302,81.1847
10/26/2005,34.395,81.0549
10/27/2005,34.49,81.1787
10/28/2005,34.523,81.1893
10/31/2005,34.32,81.3162
11/1/2005,34.327,81.4115
11/2/2005,34.318,81.4578
11/3/2005,34.383,81.4105
11/4/2005,34.063,81.4931
11/7/2005,34.008,81.3546
11/8/2005,33.9448,81.5428
11/9/2005,33.863,81.3132
11/10/2005,33.903,81.3323
11/11/2005,33.779,81.3607
11/14/2005,33.784,81.2848
11/15/2005,33.706,81.192
11/16/2005,33.713,81.3274
11/17/2005,33.738,81.0127
11/18/2005,33.718,80.822
11/21/2005,33.945,80.8228
11/22/2005,33.751,80.9075
11/23/2005,33.887,80.8263
11/24/2005,33.888,80.7013
11/25/2005,33.862,80.6293
11/28/2005,33.805,80.3932
11/29/2005,33.901,80.3188
11/30/2005,33.918,80.4533
12/1/2005,33.844,80.4622
12/2/2005,33.907,80.4656
12/5/2005,34.061,80.5664
12/6/2005,34.067,80.6641
12/7/2005,33.938,80.623
12/8/2005,34.103,80.59
12/9/2005,34.064,80.5735
12/12/2005,34.287,80.8034
12/13/2005,34.295,80.9658
12/14/2005,34.453,80.6362
12/15/2005,34.4,79.665
12/16/2005,34.357,79.7111
12/19/2005,34.346,79.6744
12/20/2005,34.311,79.4517
12/21/2005,34.1854,80.2019
12/22/2005,34.095,80.1843
12/23/2005,34.14,80.0101
12/27/2005,34.15,80.2866
12/28/2005,34.25,80.6975
12/29/2005,34.056,80.7419
12/30/2005,33.92,80.8661
1/2/2006,34.005,80.8035
1/3/2006,34.14,80.8096
1/4/2006,34.743,80.8177
1/5/2006,34.685,80.7194
1/6/2006,34.72,80.9049
1/9/2006,34.68,81.0503
1/10/2006,34.38,81.1538
1/11/2006,34.414,81.0407
1/12/2006,34.468,81.072
1/13/2006,34.32,81.1561
1/16/2006,34.259,81.1501
