Date,SEK,NEER
1/4/1999,9.4696,99.9064
1/5/1999,9.4025,99.0618
1/6/1999,9.305,99.1807
1/7/1999,9.18,98.5206
1/8/1999,9.165,98.8274
1/11/1999,9.0985,98.991
1/12/1999,9.0955,99.0548
1/13/1999,9.14,99.144
1/14/1999,9.135,98.8898
1/15/1999,9.157,98.7623
1/18/1999,9.093,98.5328
1/19/1999,9.0045,98.8121
1/20/1999,8.9645,98.6748
1/21/1999,8.943,98.725
1/22/1999,9.011,98.6575
1/25/1999,8.94,98.4498
1/26/1999,8.921,98.4651
1/27/1999,8.882,98.3069
1/28/1999,8.865,97.9483
1/29/1999,8.88,97.8402
2/1/1999,8.86,98.0474
2/2/1999,8.8775,98.5465
2/3/1999,8.915,98.519
2/4/1999,8.899,98.5406
2/5/1999,8.872,98.2436
2/8/1999,8.857,98.0056
2/9/1999,8.907,98.3688
2/10/1999,8.933,97.8438
2/11/1999,8.919,97.4944
2/12/1999,8.9305,97.899
2/15/1999,8.8815,97.9784
2/16/1999,8.853,97.9449
2/17/1999,8.907,97.6168
2/18/1999,8.9275,97.5076
2/19/1999,8.911,97.2806
2/22/1999,8.9075,97.4122
2/23/1999,8.9085,96.9944
2/24/1999,8.9115,97.5314
2/25/1999,8.974,97.5994
2/26/1999,9.0025,97.8542
3/1/1999,9.0005,97.7521
3/2/1999,8.985,98.095
3/3/1999,8.99,98.2927
3/4/1999,8.96,98.449
3/5/1999,8.9355,98.2742
3/8/1999,8.948,98.6758
3/9/1999,8.938,98.7577
3/10/1999,8.8925,99.4389
3/11/1999,8.831,99.6126
3/12/1999,8.8615,99.5877
3/15/1999,8.8785,99.5883
3/16/1999,8.969,99.7299
3/17/1999,8.978,99.544
3/18/1999,8.938,99.3888
3/19/1999,8.937,99.3581
3/22/1999,8.9325,99.5572
3/23/1999,8.932,99.544
3/24/1999,8.9695,99.7109
3/25/1999,9.007,99.6495
3/26/1999,8.95,99.5832
3/29/1999,8.955,99.1869
3/30/1999,8.9525,99.2069
3/31/1999,8.887,98.941
4/1/1999,8.889,98.698
4/2/1999,8.8811,99.1341
4/5/1999,8.8846,99.1899
4/6/1999,8.8705,100.0553
4/7/1999,8.929,99.8837
4/8/1999,8.964,99.7144
4/9/1999,8.944,99.9831
4/12/1999,9.02,99.9097
4/13/1999,8.9575,99.7151
4/14/1999,8.938,100.1835
4/15/1999,8.929,100.2674
4/16/1999,8.8825,100.3059
4/19/1999,8.883,100.404
4/20/1999,8.899,100.7122
4/21/1999,8.905,100.2882
4/22/1999,8.909,100.3461
4/23/1999,8.8945,100.1325
4/26/1999,8.8945,100.0345
4/27/1999,8.903,100.2112
4/28/1999,8.913,100.0377
4/29/1999,8.911,99.9205
4/30/1999,8.9075,100.1673
5/3/1999,8.9185,99.9723
5/4/1999,8.9485,99.8822
5/5/1999,8.9845,99.9972
5/6/1999,9.005,100.0075
5/7/1999,8.9575,100.2326
5/10/1999,8.9445,100.4135
5/11/1999,8.942,100.1863
5/12/1999,8.944,100.43
5/13/1999,8.9634,100.1567
5/14/1999,8.949,100.7032
5/17/1999,8.9775,100.725
5/18/1999,9.003,101.0123
5/19/1999,9.028,100.9046
5/20/1999,8.9965,101.5648
5/21/1999,8.962,101.7555
5/24/1999,8.9754,101.5847
5/25/1999,8.9895,100.8593
