Date,SGD,NEER
1/4/1999,1.9554,100.2705
1/5/1999,1.9655,100.4033
1/6/1999,1.9699,100.1648
1/7/1999,1.9436,100.2836
1/8/1999,1.9537,100.3129
1/11/1999,1.9358,100.4367
1/12/1999,1.9343,101.0631
1/13/1999,1.9815,102.0438
1/14/1999,1.9615,102.1955
1/15/1999,1.957,101.3806
1/18/1999,1.9549,101.4587
1/19/1999,1.9521,101.4747
1/20/1999,1.9398,101.3531
1/21/1999,1.9368,101.625
1/22/1999,1.9461,101.3578
1/25/1999,1.9557,101.8329
1/26/1999,1.9512,101.9393
1/27/1999,1.9446,101.965
1/28/1999,1.929,101.9963
1/29/1999,1.9233,102.0306
2/1/1999,1.9169,102.0045
2/2/1999,1.9114,102.1716
2/3/1999,1.9132,102.167
2/4/1999,1.9009,101.7322
2/5/1999,1.907,101.9068
2/8/1999,1.9002,102.0288
2/9/1999,1.9182,102.0489
2/10/1999,1.9202,102.2822
2/11/1999,1.9104,102.1265
2/12/1999,1.9037,101.7785
2/15/1999,1.8973,101.8458
2/16/1999,1.8976,101.8288
2/17/1999,1.9117,101.6478
2/18/1999,1.9099,101.5866
2/19/1999,1.9067,101.7768
2/22/1999,1.8845,101.609
2/23/1999,1.8853,101.2047
2/24/1999,1.9046,100.8521
2/25/1999,1.9063,101.0014
2/26/1999,1.8965,101.0961
3/1/1999,1.8943,101.3521
3/2/1999,1.8879,101.3417
3/3/1999,1.8907,101.2749
3/4/1999,1.8855,101.4514
3/5/1999,1.8727,101.3772
3/8/1999,1.8821,102.0323
3/9/1999,1.8817,101.3147
3/10/1999,1.895,101.184
3/11/1999,1.8912,101.234
3/12/1999,1.8949,101.5647
3/15/1999,1.8767,101.9104
3/16/1999,1.8773,102.3256
3/17/1999,1.8918,102.422
3/18/1999,1.8981,102.1405
3/19/1999,1.8818,102.4457
3/22/1999,1.8765,102.8971
3/23/1999,1.8883,102.9106
3/24/1999,1.885,102.4666
3/25/1999,1.8808,102.4424
3/26/1999,1.8714,102.4719
3/29/1999,1.8537,102.7934
3/30/1999,1.8577,103.0512
3/31/1999,1.8544,103.0336
4/1/1999,1.8671,103.3528
4/2/1999,1.8655,103.6403
4/5/1999,1.864,103.742
4/6/1999,1.8603,103.6041
4/7/1999,1.8765,103.7809
4/8/1999,1.8717,103.375
4/9/1999,1.8685,103.1455
4/12/1999,1.872,103.2583
4/13/1999,1.8486,102.8264
4/14/1999,1.8282,103.036
4/15/1999,1.8238,102.4287
4/16/1999,1.821,102.5296
4/19/1999,1.8133,102.1045
4/20/1999,1.8133,101.8867
4/21/1999,1.8118,102.2224
4/22/1999,1.8093,102.3227
4/23/1999,1.8187,102.722
4/26/1999,1.8046,101.7543
4/27/1999,1.808,101.8642
4/28/1999,1.809,102.1139
4/29/1999,1.7997,102.0437
4/30/1999,1.8017,102.027
5/3/1999,1.8015,102.8061
5/4/1999,1.8006,103.0277
5/5/1999,1.8119,102.9346
5/6/1999,1.8373,102.7846
5/7/1999,1.8318,102.7148
5/10/1999,1.824,102.5256
5/11/1999,1.8238,103.0566
5/12/1999,1.8089,102.3176
5/13/1999,1.8107,102.3593
5/14/1999,1.8274,102.0449
5/17/1999,1.8296,103.0991
5/18/1999,1.8296,101.5343
5/19/1999,1.831,101.2904
5/20/1999,1.832,101.2379
5/21/1999,1.819,101.3182
5/24/1999,1.8223,101.5285
5/25/1999,1.8314,101.4023
5/26/1999,1.8247,100.9728
5/27/1999,1.8136,100.8641
5/28/1999,1.8076,100.6089
5/31/1999,1.8056,100.5929
6/1/1999,1.798,100.7751
6/2/1999,1.7907,100.4724
6/3/1999,1.7922,100.4293
6/4/1999,1.7811,100.4848
6/7/1999,1.7793,100.6065
6/8/1999,1.7786,100.4103
6/9/1999,1.7922,99.9375
6/10/1999,1.7956,99.6425
6/11/1999,1.7926,100.1072
6/14/1999,1.788,100.0336
6/15/1999,1.7778,99.3514
6/16/1999,1.7637,98.5201
6/17/1999,1.7598,98.1539
6/18/1999,1.7709,98.5318
6/21/1999,1.7677,99.0991
6/22/1999,1.7532,98.4841
6/23/1999,1.7526,98.8854
6/24/1999,1.757,98.9251
6/25/1999,1.7775,99.1593
6/28/1999,1.7706,99.1797
6/29/1999,1.7658,100.379
6/30/1999,1.7558,100.282
7/1/1999,1.7429,100.4789
7/2/1999,1.7409,100.2982
7/5/1999,1.737,100.6849
7/6/1999,1.7372,99.8565
7/7/1999,1.7334,100.1427
7/8/1999,1.7286,100.0967
7/9/1999,1.7334,99.8543
7/12/1999,1.7206,100.1578
7/13/1999,1.7318,100.1428
7/14/1999,1.7318,100.4937
7/15/1999,1.7331,100.7365
7/16/1999,1.7409,101.1644
7/19/1999,1.7279,100.6619
7/20/1999,1.7673,100.5245
7/21/1999,1.7757,100.8002
7/22/1999,1.7861,101.2667
7/23/1999,1.7822,100.9821
7/26/1999,1.8011,100.6815
7/27/1999,1.7939,100.9899
7/28/1999,1.7808,101.3519
7/29/1999,1.8041,101.2968
7/30/1999,1.8023,101.0212
8/2/1999,1.7906,100.8988
8/3/1999,1.7926,101.3892
8/4/1999,1.8053,101.5158
8/5/1999,1.8085,101.3092
