Date,SIT
1/4/1999,189.045
1/5/1999,188.775
1/6/1999,188.7
1/7/1999,188.8
1/8/1999,188.84
1/11/1999,188.9655
1/12/1999,189.5352
1/13/1999,191.2016
1/14/1999,188.9441
1/15/1999,187.1333
1/18/1999,189.3639
1/19/1999,189.4432
1/20/1999,189.0666
1/21/1999,188.9975
1/22/1999,188.4587
1/25/1999,188.7438
1/26/1999,189.5821
1/27/1999,189.7167
1/28/1999,189.64
1/29/1999,188.5
2/1/1999,189.4727
2/2/1999,190.8753
2/3/1999,190.4761
2/4/1999,190.4237
2/5/1999,190.2791
2/8/1999,190.3325
2/9/1999,190.6592
2/10/1999,191.454
2/11/1999,190.1997
2/12/1999,190.4383
2/15/1999,189.5612
2/16/1999,190.3482
2/17/1999,190.153
2/18/1999,189.7714
2/19/1999,189.7336
2/22/1999,189.4169
2/23/1999,190.0579
2/24/1999,190.3167
2/25/1999,190.2926
2/26/1999,190.4698
3/1/1999,190.3652
3/2/1999,190.2429
3/3/1999,190.22
3/4/1999,190.33
3/5/1999,190.5755
3/8/1999,190.2453
3/9/1999,189.8259
3/10/1999,191.3634
3/11/1999,190.139
3/12/1999,190.3535
3/15/1999,190.8855
3/16/1999,190.393
3/17/1999,189.9264
3/18/1999,190.5117
3/19/1999,190.3779
3/22/1999,190.4427
3/23/1999,190.5601
3/24/1999,190.8219
3/25/1999,190.8219
3/26/1999,190.5581
3/29/1999,189.6164
3/30/1999,190.5175
3/31/1999,191.1308
4/1/1999,190.5994
4/2/1999,190.4556
4/5/1999,190.19
4/6/1999,190.8181
4/7/1999,190.7747
4/8/1999,190.9732
4/9/1999,190.9803
4/12/1999,191.4368
4/13/1999,192.5428
4/14/1999,193.4368
4/15/1999,192.7021
4/16/1999,192.346
4/19/1999,192.6903
4/20/1999,192.591
4/21/1999,192.7372
4/22/1999,191.7849
4/23/1999,192.305
4/26/1999,192.9845
4/27/1999,193.3027
4/28/1999,193.0616
4/29/1999,193.1168
4/30/1999,193.2883
5/3/1999,193.505
5/4/1999,193.5
5/5/1999,193.6989
5/6/1999,193.7113
5/7/1999,193.7554
5/10/1999,193.6241
5/11/1999,193.7923
5/12/1999,194.0852
