Date,THB,NEER
4/1/2005,50.745,90.1973
4/4/2005,50.939,89.6547
4/5/2005,50.79,89.64
4/6/2005,50.872,89.7289
4/7/2005,51.196,89.3811
4/8/2005,50.896,89.4874
4/11/2005,51.365,89.2333
4/12/2005,51.511,89.0523
4/13/2005,51.042,89.397
4/14/2005,50.943,89.2597
4/15/2005,51.075,89.3752
4/18/2005,51.317,89.4386
4/19/2005,51.395,89.3396
4/20/2005,51.402,89.4372
4/21/2005,51.716,89.0781
4/22/2005,51.595,89.1054
4/25/2005,51.093,89.2685
4/26/2005,51.257,89.0735
4/27/2005,51.143,89.0211
4/28/2005,51.06,88.9968
4/29/2005,51.11,88.9628
5/2/2005,50.83,88.9897
5/3/2005,50.827,88.9635
5/4/2005,51.138,88.7116
5/5/2005,51.124,88.7147
5/6/2005,51.033,88.9148
5/9/2005,50.704,89.0191
5/10/2005,50.767,89.0866
5/11/2005,50.699,89.2862
5/12/2005,50.367,89.47
5/13/2005,49.948,89.6593
5/16/2005,50.312,89.1268
5/17/2005,50.371,89.0395
5/18/2005,50.326,89.0485
5/19/2005,50.456,88.8863
5/20/2005,50.372,88.9615
5/23/2005,50.303,88.6951
5/24/2005,50.487,88.4935
5/25/2005,50.486,88.1958
5/26/2005,50.599,87.9211
5/27/2005,50.779,88.0251
5/30/2005,50.37,87.9362
5/31/2005,50.058,87.9865
6/1/2005,49.864,87.754
6/2/2005,49.894,87.9241
6/3/2005,50.035,87.8965
6/6/2005,49.79,87.7692
6/7/2005,49.765,87.7349
6/8/2005,49.995,87.9101
6/9/2005,49.821,87.9866
6/10/2005,49.701,87.8778
6/13/2005,49.345,87.8859
6/14/2005,49.562,87.7434
6/15/2005,49.423,87.2011
6/16/2005,49.599,87.2016
6/17/2005,50.058,87.2521
6/20/2005,50.195,87.1382
6/21/2005,49.837,87.5146
6/22/2005,49.883,87.5696
6/23/2005,49.485,87.3392
6/24/2005,49.595,87.4445
6/27/2005,49.976,87.504
6/28/2005,49.892,87.6084
6/29/2005,49.803,87.7683
6/30/2005,49.938,87.5486
7/1/2005,49.923,87.3435
7/4/2005,49.296,86.659
7/5/2005,49.386,86.5117
7/6/2005,49.572,86.6438
7/7/2005,49.843,86.5754
7/8/2005,50.161,86.7488
7/11/2005,50.483,86.9264
7/12/2005,50.815,86.8898
7/13/2005,50.925,86.8393
7/14/2005,50.498,86.5551
7/15/2005,50.428,86.9587
7/18/2005,50.398,87.0705
7/19/2005,50.225,87.2312
7/20/2005,50.737,87.2115
7/21/2005,50.474,86.9813
7/22/2005,50.238,86.5034
7/25/2005,49.975,86.7826
7/26/2005,49.818,86.6915
7/27/2005,49.99,86.9302
7/28/2005,50.6,86.9174
7/29/2005,50.385,87.0515
8/1/2005,50.78,87.0241
8/2/2005,50.536,87.2206
8/3/2005,50.803,87.1805
8/4/2005,50.787,87.4672
8/5/2005,51.028,87.3886
8/8/2005,50.89,87.3344
8/9/2005,50.969,86.7951
8/10/2005,50.682,86.7738
8/11/2005,50.747,87.036
8/12/2005,50.849,87.2057
8/15/2005,50.733,87.4486
8/16/2005,50.721,87.6296
8/17/2005,50.727,87.4671
8/18/2005,50.411,87.4869
8/19/2005,50.265,87.4929
8/22/2005,50.174,87.3732
8/23/2005,50.155,87.4612
8/24/2005,50.265,87.4481
8/25/2005,50.409,87.4239
8/26/2005,50.481,87.0536
8/29/2005,50.655,86.9867
8/30/2005,50.379,87.3721
8/31/2005,50.441,87.4283
9/1/2005,50.927,87.3369
9/2/2005,51.491,87.7424
9/5/2005,51.335,87.7681
9/6/2005,51.303,87.6249
9/7/2005,51.03,87.7624
9/8/2005,50.934,87.8069
9/9/2005,50.908,87.8827
9/12/2005,50.29,87.7947
9/13/2005,50.293,87.8098
9/14/2005,50.375,88.0359
9/15/2005,50.059,87.9445
9/16/2005,50.178,88.187
9/19/2005,49.895,88.3053
9/20/2005,49.9,88.3762
9/21/2005,50.171,88.5052
9/22/2005,50.163,88.6212
9/23/2005,49.75,88.7226
9/26/2005,49.646,88.759
9/27/2005,49.529,88.7659
9/28/2005,49.554,88.8908
9/29/2005,49.529,89.0844
9/30/2005,49.44,89.0878
10/3/2005,49.12,89.2782
10/4/2005,49.081,89.3248
10/5/2005,49.032,89.3781
10/6/2005,49.428,89.7027
10/7/2005,49.586,89.4299
10/10/2005,49.353,89.5999
10/11/2005,49.162,89.4793
10/12/2005,49.175,89.5093
10/13/2005,49.056,89.5054
10/14/2005,49.078,89.4913
10/17/2005,49.124,89.4513
10/18/2005,48.8,89.4201
10/19/2005,48.961,89.7188
10/20/2005,48.874,89.8272
10/21/2005,49.115,89.7458
10/24/2005,48.913,89.7738
10/25/2005,49.103,89.8557
10/26/2005,49.257,89.6513
10/27/2005,49.452,89.4764
10/28/2005,49.507,89.6251
10/31/2005,49.038,89.7847
11/1/2005,48.975,89.9078
11/2/2005,48.969,89.9752
11/3/2005,49.163,89.833
11/4/2005,48.907,89.9172
11/7/2005,48.524,89.7014
11/8/2005,48.367,89.8976
11/9/2005,48.366,89.6798
11/10/2005,48.399,89.7529
11/11/2005,48.114,89.7351
11/14/2005,48.228,89.6082
11/15/2005,48.07,89.6609
11/16/2005,48.094,89.7544
