Date,TRY,NEER
1/4/1999,2.163162126,94.9144
1/5/1999,2.163293906,94.3136
1/6/1999,2.163428815,94.3489
1/7/1999,2.163554015,93.6429
1/8/1999,2.163674725,93.6499
1/11/1999,2.163803108,93.346
1/12/1999,2.163935192,93.3327
1/13/1999,2.164067868,93.3342
1/14/1999,2.164202315,92.8048
1/15/1999,2.1643418,92.8476
1/18/1999,2.164491265,92.6471
1/19/1999,2.16464886,92.0965
1/20/1999,2.16480783,91.901
1/21/1999,2.164961825,91.724
1/22/1999,2.165120426,91.6208
1/25/1999,2.165278196,91.6715
1/26/1999,2.165434412,91.6073
1/27/1999,2.165598058,91.1863
1/28/1999,2.165761981,91.2799
1/29/1999,2.165918864,90.994
2/1/1999,2.16608212,90.5339
2/2/1999,2.16624386,90.6216
2/3/1999,2.166408699,90.2841
2/4/1999,2.166573206,90.1901
2/5/1999,2.166743108,90.301
2/8/1999,2.166917303,90.3523
2/9/1999,2.16709935,90.293
2/10/1999,2.167277599,89.6192
2/11/1999,2.167456291,89.8324
2/12/1999,2.16762961,89.6353
2/15/1999,2.167809261,89.3238
2/16/1999,2.167986332,89.1378
2/17/1999,2.16816419,89.1641
2/18/1999,2.168338736,89.1646
2/19/1999,2.168513798,89.1498
2/22/1999,2.16869191,88.6866
2/23/1999,2.168869313,88.6311
2/24/1999,2.169044628,88.3678
2/25/1999,2.169214242,88.1555
2/26/1999,2.169388863,88.0795
3/1/1999,2.169567653,87.7092
3/2/1999,2.169747771,87.6369
3/3/1999,2.169930642,87.4343
3/4/1999,2.1701175,87.2712
3/5/1999,2.170306695,87.3079
3/8/1999,2.170498037,87.2991
3/9/1999,2.170692992,87.1346
3/10/1999,2.170882319,87.1262
3/11/1999,2.171061079,86.8279
3/12/1999,2.171234387,86.734
3/15/1999,2.171416043,86.7585
3/16/1999,2.171586728,86.1641
3/17/1999,2.171757121,86.1633
3/18/1999,2.171909035,86.2087
3/19/1999,2.172057088,86.1796
3/22/1999,2.172218393,86.1414
3/23/1999,2.172371241,85.8445
3/24/1999,2.172530472,85.8679
3/25/1999,2.17268325,85.8875
3/26/1999,2.172843924,85.8235
3/29/1999,2.172987534,85.5412
3/30/1999,2.173137955,85.3021
3/31/1999,2.173299109,85.2592
4/1/1999,2.173462364,85.0646
4/2/1999,2.173624079,84.7113
4/5/1999,2.17378782,84.772
4/6/1999,2.173953745,84.2338
4/7/1999,2.174123991,84.1352
4/8/1999,2.174295107,83.6576
4/9/1999,2.174459674,83.2532
4/12/1999,2.174625923,83.2911
4/13/1999,2.174795956,83.353
4/14/1999,2.174962271,82.9765
4/15/1999,2.175116887,82.5849
4/16/1999,2.175265473,82.5442
4/19/1999,2.175415888,82.5076
4/20/1999,2.175572653,82.2826
4/21/1999,2.175726306,82.0289
4/22/1999,2.175882066,82.0464
4/23/1999,2.176039587,81.9559
4/26/1999,2.176199493,81.9365
4/27/1999,2.176355582,81.9272
4/28/1999,2.176506716,81.5379
