Date,USD,NEER
1/4/1999,1.1789,101.6609
1/5/1999,1.179,101.7835
1/6/1999,1.1743,102.1535
1/7/1999,1.1632,101.8883
1/8/1999,1.1659,101.6386
1/11/1999,1.1569,101.9454
1/12/1999,1.152,101.3339
1/13/1999,1.1744,101.5512
1/14/1999,1.1653,101.2321
1/15/1999,1.1626,101.1803
1/18/1999,1.1612,101.3146
1/19/1999,1.1616,101.2239
1/20/1999,1.1575,101.2257
1/21/1999,1.1572,101.6577
1/22/1999,1.1567,101.7468
1/25/1999,1.1584,101.3584
1/26/1999,1.1582,101.2491
1/27/1999,1.1529,101.3951
1/28/1999,1.141,101.0283
1/29/1999,1.1384,101.1435
2/1/1999,1.1338,101.2059
2/2/1999,1.1337,101.1081
2/3/1999,1.1337,101.3684
2/4/1999,1.1263,101.0202
2/5/1999,1.1292,100.5386
2/8/1999,1.1246,100.7162
2/9/1999,1.1333,100.925
2/10/1999,1.1342,100.903
2/11/1999,1.1312,101.1741
2/12/1999,1.1244,101.4621
2/15/1999,1.1238,101.3903
2/16/1999,1.1176,101.6321
2/17/1999,1.1253,101.4148
2/18/1999,1.1232,101.9777
2/19/1999,1.1163,101.9162
2/22/1999,1.0992,101.9923
2/23/1999,1.0969,101.8959
2/24/1999,1.1037,101.5559
2/25/1999,1.1031,101.9341
2/26/1999,1.1018,102.1308
3/1/1999,1.0986,101.9951
3/2/1999,1.0887,102.1582
3/3/1999,1.0899,102.3809
3/4/1999,1.0866,102.3112
3/5/1999,1.0834,102.5218
3/8/1999,1.0908,102.2321
3/9/1999,1.0863,102.0957
3/10/1999,1.0953,101.5017
3/11/1999,1.0891,101.4382
3/12/1999,1.0932,101.1315
3/15/1999,1.0949,101.5311
3/16/1999,1.0901,101.8172
3/17/1999,1.0966,101.9129
3/18/1999,1.1012,101.702
3/19/1999,1.0915,101.7179
3/22/1999,1.0864,102.2305
3/23/1999,1.0896,102.537
3/24/1999,1.0928,102.3845
3/25/1999,1.0898,101.9059
3/26/1999,1.0815,102.0146
3/29/1999,1.0692,102.1054
3/30/1999,1.0711,102.321
3/31/1999,1.0742,102.2719
4/1/1999,1.0772,102.4788
4/2/1999,1.0772,102.6684
4/5/1999,1.0752,102.7729
4/6/1999,1.0726,103.0101
4/7/1999,1.0812,102.952
4/8/1999,1.0818,103.3417
4/9/1999,1.0778,103.0731
4/12/1999,1.0867,103.0949
4/13/1999,1.0765,102.8431
4/14/1999,1.0787,102.9049
4/15/1999,1.0786,103.0855
4/16/1999,1.0668,102.0338
4/19/1999,1.0636,102.161
4/20/1999,1.0646,102.0718
4/21/1999,1.0586,101.8091
4/22/1999,1.0581,101.2813
