Date,ZAR,NEER
1/4/1999,6.9358,100.9966
1/5/1999,6.7975,100.1785
1/6/1999,6.7307,101.1113
1/7/1999,6.8283,100.8248
1/8/1999,6.7855,100.4134
1/11/1999,6.791,102.1664
1/12/1999,6.9581,102.2267
1/13/1999,7.2543,102.0718
1/14/1999,7.1316,102.9587
1/15/1999,7.2197,103.0328
1/18/1999,6.9596,103.2686
1/19/1999,7.0161,102.4744
1/20/1999,6.945,103.0541
1/21/1999,6.9797,103.2986
1/22/1999,7.03,102.9186
1/25/1999,7.0241,103.271
1/26/1999,6.9955,102.6518
1/27/1999,6.9666,103.1954
1/28/1999,6.9145,103.3785
1/29/1999,6.8804,102.5847
2/1/1999,6.8425,102.0786
2/2/1999,6.8135,101.245
2/3/1999,6.8135,101.4678
2/4/1999,6.7922,100.7835
2/5/1999,6.8119,100.8685
2/8/1999,6.6959,100.2554
2/9/1999,6.899,101.3655
2/10/1999,6.9361,101.4127
2/11/1999,6.8575,101.4928
2/12/1999,6.856,100.9687
2/15/1999,6.8819,101.2723
2/16/1999,6.9198,100.6686
2/17/1999,6.8981,100.6058
2/18/1999,6.9526,100.9973
2/19/1999,6.9573,100.8997
2/22/1999,6.851,101.818
2/23/1999,6.8315,102.2208
2/24/1999,6.7871,102.7873
2/25/1999,6.8254,103.3638
2/26/1999,6.8064,104.0153
3/1/1999,6.7716,102.9145
3/2/1999,6.7916,102.6027
3/3/1999,6.7883,102.824
3/4/1999,6.7798,103.5699
3/5/1999,6.7342,103.6667
3/8/1999,6.7119,103.2908
3/9/1999,6.678,104.0784
3/10/1999,6.7498,105.8659
3/11/1999,6.7279,105.3416
3/12/1999,6.7314,105.7167
3/15/1999,6.8106,105.2586
3/16/1999,6.8185,104.4864
3/17/1999,6.8592,104.3516
3/18/1999,6.8702,104.5735
3/19/1999,6.791,105.8321
3/22/1999,6.7055,105.2999
3/23/1999,6.752,105.997
3/24/1999,6.7918,105.7304
3/25/1999,6.7808,105.5708
3/26/1999,6.708,105.1949
3/29/1999,6.6798,104.1319
3/30/1999,6.6655,104.2596
3/31/1999,6.6493,104.1598
4/1/1999,6.6501,103.779
4/2/1999,6.6412,104.0089
4/5/1999,6.634,103.974
4/6/1999,6.6689,102.7672
4/7/1999,6.6764,103.2183
4/8/1999,6.7423,102.8893
4/9/1999,6.6692,101.6953
4/12/1999,6.7059,102.0812
4/13/1999,6.6971,101.7052
4/14/1999,6.5774,101.7493
4/15/1999,6.5687,101.1441
4/16/1999,6.5391,100.3816
4/19/1999,6.4608,100.2856
4/20/1999,6.4608,100.5807
4/21/1999,6.4389,100.6141
4/22/1999,6.4359,100.99
4/23/1999,6.4962,100.9012
4/26/1999,6.448,101.5528
4/27/1999,6.4463,102.0407
4/28/1999,6.4722,102.3735
4/29/1999,6.4287,102.5179
4/30/1999,6.4682,102.8334
5/3/1999,6.4308,102.4216
5/4/1999,6.4196,102.2443
5/5/1999,6.4989,102.8621
5/6/1999,6.5728,102.4949
5/7/1999,6.6226,102.8593
5/10/1999,6.594,103.0611
5/11/1999,6.6361,103.226
5/12/1999,6.6046,103.1894
5/13/1999,6.6398,103.1366
5/14/1999,6.5904,102.5654
5/17/1999,6.6434,102.6984
5/18/1999,6.5927,103.0828
5/19/1999,6.5798,103.1079
5/20/1999,6.6175,103.573
5/21/1999,6.5467,102.3769
5/24/1999,6.5812,102.0927
5/25/1999,6.6299,103.3802
5/26/1999,6.6004,103.3069
5/27/1999,6.5535,102.91
5/28/1999,6.5545,102.0334
5/31/1999,6.4984,102.6957
6/1/1999,6.4821,103.0762
6/2/1999,6.4332,102.6211
6/3/1999,6.4472,102.9044
6/4/1999,6.3747,103.2164
6/7/1999,6.3295,104.1274
6/8/1999,6.3209,104.5429
6/9/1999,6.4012,103.9673
6/10/1999,6.4263,103.0516
6/11/1999,6.4077,102.8428
6/14/1999,6.3509,102.7925
6/15/1999,6.337,103.4431
6/16/1999,6.3409,102.5033
6/17/1999,6.2867,102.4147
6/18/1999,6.1964,102.3855
